Protein family,Layer,Head,Correlation,P-value
PF06427,0,0,-0.15085862668976197,2.760917779134405e-122
PF06427,0,1,-0.2209419442201757,1.9727644166112588e-263
PF06427,0,2,-0.3422507502056621,0.0
PF06427,0,3,-0.17653232401829855,2.0471701534827036e-167
PF06427,0,4,0.6249199536966163,0.0
PF06427,0,5,-0.3109800278694512,0.0
PF06427,0,6,0.05168020774030981,1.0980456013794495e-15
PF06427,0,7,-0.31396867950340546,0.0
PF06427,0,8,-0.3256712808646862,0.0
PF06427,0,9,-0.4832840125142418,0.0
PF06427,0,10,-0.140935053018405,8.027425742653438e-107
PF06427,0,11,-0.2683672854824505,0.0
PF06427,1,0,-0.6062440677235743,0.0
PF06427,1,1,0.12109374701858595,3.6925803304746867e-79
PF06427,1,2,-0.502610749667377,0.0
PF06427,1,3,-0.47823390575332647,0.0
PF06427,1,4,-0.6088253115417032,0.0
PF06427,1,5,-0.3728708745027721,0.0
PF06427,1,6,-0.5987170073132254,0.0
PF06427,1,7,-0.5123483598264236,0.0
PF06427,1,8,-0.566484711439233,0.0
PF06427,1,9,-0.6149773802041142,0.0
PF06427,1,10,-0.1732433320959852,3.234451946451985e-161
PF06427,1,11,-0.3873299132964696,0.0
PF06427,2,0,-0.36013037863130964,0.0
PF06427,2,1,-0.406136897188229,0.0
PF06427,2,2,-0.5236521529488024,0.0
PF06427,2,3,-0.3726657359762097,0.0
PF06427,2,4,-0.1698449909662493,6.0942439138446556e-155
PF06427,2,5,0.18798994780610545,5.589276871064086e-190
PF06427,2,6,-0.4456627103376933,0.0
PF06427,2,7,-0.5220822754070523,0.0
PF06427,2,8,-0.4861867498270217,0.0
PF06427,2,9,-0.09311386645859852,2.0656346672069406e-47
PF06427,2,10,-0.508064532001977,0.0
PF06427,2,11,-0.6292743826991083,0.0
PF06427,3,0,-0.5230307395962513,0.0
PF06427,3,1,-0.5305593859618861,0.0
PF06427,3,2,-0.3833405593034247,0.0
PF06427,3,3,-0.04706842208660163,2.8933055605566946e-13
PF06427,3,4,-0.4954357911075273,0.0
PF06427,3,5,-0.519960168179337,0.0
PF06427,3,6,-0.3116438313803535,0.0
PF06427,3,7,-0.5712048164396396,0.0
PF06427,3,8,0.1192076809738578,9.397218997339764e-77
PF06427,3,9,-0.5371243254095193,0.0
PF06427,3,10,-0.578998490395514,0.0
PF06427,3,11,-0.4513521329819983,0.0
PF06427,4,0,-0.43737344402420675,0.0
PF06427,4,1,0.01498300211447309,0.020212760855246037
PF06427,4,2,-0.4964441961765683,0.0
PF06427,4,3,-0.5218813626728234,0.0
PF06427,4,4,-0.5452594817582106,0.0
PF06427,4,5,-0.4970494353087994,0.0
PF06427,4,6,-0.5098308268712058,0.0
PF06427,4,7,-0.08866858659106497,3.8597968362448886e-43
PF06427,4,8,-0.5370426161075412,0.0
PF06427,4,9,-0.5213020610613205,0.0
PF06427,4,10,-0.5063086941484306,0.0
PF06427,4,11,-0.48142287787506916,0.0
PF06427,5,0,-0.0621841938948082,5.042494506840013e-22
PF06427,5,1,-0.2517684261887501,0.0
PF06427,5,2,-0.5460039985195065,0.0
PF06427,5,3,-0.2641467945034199,0.0
PF06427,5,4,-0.4607786547578898,0.0
PF06427,5,5,-0.15325013066844564,3.5529294129902055e-126
PF06427,5,6,-0.49448658220104436,0.0
PF06427,5,7,-0.3539261024835202,0.0
PF06427,5,8,-0.35849713750161377,0.0
PF06427,5,9,-0.5263845417924152,0.0
PF06427,5,10,-0.3657139436365626,0.0
PF06427,5,11,-0.05628790259944209,2.522228930557706e-18
PF06427,6,0,-0.5252844883139284,0.0
PF06427,6,1,-0.3540627505565032,0.0
PF06427,6,2,-0.5034439662818784,0.0
PF06427,6,3,-0.21305964876179123,1.092380353578851e-244
PF06427,6,4,-0.48132669487864804,0.0
PF06427,6,5,-0.3807644829785496,0.0
PF06427,6,6,-0.5318795351665396,0.0
PF06427,6,7,-0.3920484207239846,0.0
PF06427,6,8,-0.5285275111517009,0.0
PF06427,6,9,-0.4916791847067491,0.0
PF06427,6,10,-0.2585089093650507,0.0
PF06427,6,11,0.22391638382245493,1.0652487625862288e-270
PF06427,7,0,-0.42276576528707177,0.0
PF06427,7,1,-0.4908393069671822,0.0
PF06427,7,2,-0.5408106916625122,0.0
PF06427,7,3,-0.546037915899188,0.0
PF06427,7,4,-0.46261595519601734,0.0
PF06427,7,5,-0.2809978190394687,0.0
PF06427,7,6,0.06339164143256854,7.950012933518162e-23
PF06427,7,7,-0.3813847638840283,0.0
PF06427,7,8,-0.5137710522239101,0.0
PF06427,7,9,-0.433345346099713,0.0
PF06427,7,10,-0.5416129556445209,0.0
PF06427,7,11,0.04505690783339297,2.8081507496454315e-12
PF06427,8,0,-0.5358427257331938,0.0
PF06427,8,1,-0.5252135702630415,0.0
PF06427,8,2,0.35798302484903904,0.0
PF06427,8,3,-0.4812552775867018,0.0
PF06427,8,4,-0.4545014937907949,0.0
PF06427,8,5,-0.47549124385180236,0.0
PF06427,8,6,-0.02672107814817422,3.438533879738783e-05
PF06427,8,7,-0.526524818213535,0.0
PF06427,8,8,-0.1400362706251122,1.7832283372045523e-105
PF06427,8,9,-0.3812772451617365,0.0
PF06427,8,10,-0.5214610515703385,0.0
PF06427,8,11,-0.5206004545087259,0.0
PF06427,9,0,-0.49991917490257776,0.0
PF06427,9,1,-0.41602132925456187,0.0
PF06427,9,2,-0.513678428882349,0.0
PF06427,9,3,-0.4826367359489356,0.0
PF06427,9,4,-0.5116496358859671,0.0
PF06427,9,5,-0.5228548916958116,0.0
PF06427,9,6,-0.35472707246676083,0.0
PF06427,9,7,-0.4027612498445726,0.0
PF06427,9,8,-0.5196009526242668,0.0
PF06427,9,9,-0.048734233363508794,4.0961672154249064e-14
PF06427,9,10,-0.4747480801801356,0.0
PF06427,9,11,-0.4925377402690554,0.0
PF06427,10,0,-0.49632509642975037,0.0
PF06427,10,1,-0.4424159142707708,0.0
PF06427,10,2,-0.44685536653371893,0.0
PF06427,10,3,-0.538734858449634,0.0
PF06427,10,4,-0.5177067336213437,0.0
PF06427,10,5,-0.48695801068214783,0.0
PF06427,10,6,-0.5069360476304222,0.0
PF06427,10,7,-0.5231587335574763,0.0
PF06427,10,8,-0.5489568122649652,0.0
PF06427,10,9,-0.5273310685705771,0.0
PF06427,10,10,-0.4945536596328562,0.0
PF06427,10,11,-0.5259243699317964,0.0
PF06427,11,0,-0.5110797968004708,0.0
PF06427,11,1,-0.5140865195382395,0.0
PF06427,11,2,-0.48699459068346396,0.0
PF06427,11,3,-0.5216472305219891,0.0
PF06427,11,4,-0.53055627808895,0.0
PF06427,11,5,-0.5480562979788447,0.0
PF06427,11,6,-0.528463568030094,0.0
PF06427,11,7,-0.5551389939793857,0.0
PF06427,11,8,-0.4973256844151161,0.0
PF06427,11,9,0.04789791291266302,1.102074138477175e-13
PF06427,11,10,-0.4828827476188731,0.0
PF06427,11,11,-0.5362493271697433,0.0
