Protein family,Layer,Correlation,P value
PF13377,0,0.4054064308557918,5.203346869470407e-172
PF13377,1,0.4316233229066428,3.3827221896857945e-197
PF13377,2,0.4621924714250167,1.6102198215956976e-229
PF13377,3,0.42792808191125453,1.6457641258099968e-193
PF13377,4,0.4152971775846901,2.998178992520676e-181
PF13377,5,0.35217316777234925,2.1799930347151366e-127
PF13377,6,0.3574182993379764,2.0247244364176107e-131
PF13377,7,0.3804223428544987,5.013507070914334e-150
PF13377,8,0.3966851649022557,4.048265325896189e-164
PF13377,9,0.42775825142085305,2.425050223839129e-193
PF13377,10,0.4277886547246733,2.2625021936687776e-193
PF13377,11,0.41314549314862703,3.262080935054084e-179
