Protein family,Layer,Head,Correlation,P-value
PF00066,0,0,-0.4383217841000765,0.0
PF00066,0,1,-0.7249970063405637,0.0
PF00066,0,2,-0.7199187366273525,0.0
PF00066,0,3,-0.627884030157432,0.0
PF00066,0,4,0.4071264301870767,0.0
PF00066,0,5,-0.6109037082329741,0.0
PF00066,0,6,-0.5005030185223113,0.0
PF00066,0,7,-0.7093174312234518,0.0
PF00066,0,8,-0.7118137333057739,0.0
PF00066,0,9,-0.5715068899816274,0.0
PF00066,0,10,-0.04076863901405078,2.2231641743557103e-05
PF00066,0,11,-0.7114389075297062,0.0
PF00066,1,0,-0.7798653124275889,0.0
PF00066,1,1,-0.4380162542966101,0.0
PF00066,1,2,-0.7691052652261146,0.0
PF00066,1,3,-0.6953925612560419,0.0
PF00066,1,4,-0.7778039927218966,0.0
PF00066,1,5,-0.7520001575972204,0.0
PF00066,1,6,-0.7586572010770635,0.0
PF00066,1,7,-0.7459704512645045,0.0
PF00066,1,8,-0.7949668708460683,0.0
PF00066,1,9,-0.7734178756136323,0.0
PF00066,1,10,-0.5238407168529219,0.0
PF00066,1,11,-0.654928091259893,0.0
PF00066,2,0,-0.7206599738189506,0.0
PF00066,2,1,-0.6594563174821035,0.0
PF00066,2,2,-0.7522765356421064,0.0
PF00066,2,3,-0.6985773824528148,0.0
PF00066,2,4,-0.7258232059233554,0.0
PF00066,2,5,-0.33091907806713416,1.0373035068652418e-274
PF00066,2,6,-0.7272288272522934,0.0
PF00066,2,7,-0.7505971506392419,0.0
PF00066,2,8,-0.7549116772621949,0.0
PF00066,2,9,-0.578539931971813,0.0
PF00066,2,10,-0.751689131628783,0.0
PF00066,2,11,-0.7218130784181555,0.0
PF00066,3,0,-0.6919112107790034,0.0
PF00066,3,1,-0.7346432752544484,0.0
PF00066,3,2,-0.7120738387766886,0.0
PF00066,3,3,-0.494321914800098,0.0
PF00066,3,4,-0.7117519449127828,0.0
PF00066,3,5,-0.7214613016386582,0.0
PF00066,3,6,-0.48156026328383905,0.0
PF00066,3,7,-0.7592083159374494,0.0
PF00066,3,8,0.38777928880592805,0.0
PF00066,3,9,-0.7382541892534328,0.0
PF00066,3,10,-0.736392675809419,0.0
PF00066,3,11,-0.7143718881406286,0.0
PF00066,4,0,-0.6892558548579245,0.0
PF00066,4,1,-0.2989075166525507,4.301179764678404e-222
PF00066,4,2,-0.714482995911698,0.0
PF00066,4,3,-0.7348983061049332,0.0
PF00066,4,4,-0.7375518020854215,0.0
PF00066,4,5,-0.7204998044142745,0.0
PF00066,4,6,-0.718032370675527,0.0
PF00066,4,7,-0.5998368241733277,0.0
PF00066,4,8,-0.7197287552000955,0.0
PF00066,4,9,-0.7444094968885342,0.0
PF00066,4,10,-0.739236687736875,0.0
PF00066,4,11,-0.7151983808640586,0.0
PF00066,5,0,-0.459039038327806,0.0
PF00066,5,1,-0.6303568304133533,0.0
PF00066,5,2,-0.7426013995906667,0.0
PF00066,5,3,-0.6902750547175588,0.0
PF00066,5,4,-0.7611571623091092,0.0
PF00066,5,5,-0.4279769867512363,0.0
PF00066,5,6,-0.7222122621229718,0.0
PF00066,5,7,-0.702786089023047,0.0
PF00066,5,8,-0.664888487308473,0.0
PF00066,5,9,-0.7322062198938738,0.0
PF00066,5,10,-0.713649801196891,0.0
PF00066,5,11,-0.35258442437773124,0.0
PF00066,6,0,-0.7118151551707896,0.0
PF00066,6,1,-0.6291432349903863,0.0
PF00066,6,2,-0.7150170885697483,0.0
PF00066,6,3,-0.4846718527733159,0.0
PF00066,6,4,-0.6955599758667862,0.0
PF00066,6,5,-0.4709301645451133,0.0
PF00066,6,6,-0.7308017032561674,0.0
PF00066,6,7,-0.6589789660573202,0.0
PF00066,6,8,-0.7117681720755439,0.0
PF00066,6,9,-0.703748668490636,0.0
PF00066,6,10,-0.6086501640346053,0.0
PF00066,6,11,0.16449230018713584,1.7955154375969742e-66
PF00066,7,0,-0.6338945049136201,0.0
PF00066,7,1,-0.673412448336051,0.0
PF00066,7,2,-0.6961692726902426,0.0
PF00066,7,3,-0.7107486352441762,0.0
PF00066,7,4,-0.6505612487114263,0.0
PF00066,7,5,-0.5320063391796342,0.0
PF00066,7,6,-0.15183670815495387,8.532181260999015e-57
PF00066,7,7,-0.5950212977492934,0.0
PF00066,7,8,-0.7021397526490164,0.0
PF00066,7,9,-0.7051227703078987,0.0
PF00066,7,10,-0.7089956723487695,0.0
PF00066,7,11,0.22008485472513037,8.964583172897392e-119
PF00066,8,0,-0.6787431508529812,0.0
PF00066,8,1,-0.7002943410111756,0.0
PF00066,8,2,0.22275665640015443,1.0608990034646838e-121
PF00066,8,3,-0.6338817910546392,0.0
PF00066,8,4,-0.6825756335606596,0.0
PF00066,8,5,-0.6073293320470392,0.0
PF00066,8,6,-0.2567553798463825,2.1536517640724607e-162
PF00066,8,7,-0.6395509322008411,0.0
PF00066,8,8,-0.3754312232860716,0.0
PF00066,8,9,-0.6192580821467825,0.0
PF00066,8,10,-0.6672704731678519,0.0
PF00066,8,11,-0.6594371507841779,0.0
PF00066,9,0,-0.6528661320440307,0.0
PF00066,9,1,-0.650149082421902,0.0
PF00066,9,2,-0.6794968493042254,0.0
PF00066,9,3,-0.7278623182144774,0.0
PF00066,9,4,-0.6974178707066293,0.0
PF00066,9,5,-0.6665910403862341,0.0
PF00066,9,6,-0.5697245416600916,0.0
PF00066,9,7,-0.6713851649704862,0.0
PF00066,9,8,-0.6978921866196869,0.0
PF00066,9,9,-0.48619530063271554,0.0
PF00066,9,10,-0.679895888982306,0.0
PF00066,9,11,-0.6825132049677394,0.0
PF00066,10,0,-0.7143379947383838,0.0
PF00066,10,1,-0.6490694854834511,0.0
PF00066,10,2,-0.6706594221698678,0.0
PF00066,10,3,-0.6795434897695121,0.0
PF00066,10,4,-0.694088529522798,0.0
PF00066,10,5,-0.6522675166422665,0.0
PF00066,10,6,-0.6937551257948753,0.0
PF00066,10,7,-0.6737251516563156,0.0
PF00066,10,8,-0.6939789399638043,0.0
PF00066,10,9,-0.6862563080730661,0.0
PF00066,10,10,-0.6735342996812589,0.0
PF00066,10,11,-0.6386781305379304,0.0
PF00066,11,0,-0.7304787458404979,0.0
PF00066,11,1,-0.7028181836970179,0.0
PF00066,11,2,-0.7129604581184685,0.0
PF00066,11,3,-0.6885987043531927,0.0
PF00066,11,4,-0.6939167807550634,0.0
PF00066,11,5,-0.6931429044074656,0.0
PF00066,11,6,-0.691803356100782,0.0
PF00066,11,7,-0.7228454401066506,0.0
PF00066,11,8,-0.6305662518870231,0.0
PF00066,11,9,-0.12026743878639724,3.8783966026711166e-36
PF00066,11,10,-0.7280036920562172,0.0
PF00066,11,11,-0.6928453743304064,0.0
