Protein family,Layer,Head,Correlation,P-value
PF00672,0,0,-0.18206503976950872,0.0
PF00672,0,1,-0.0941433615189306,5.261923423472714e-89
PF00672,0,2,-0.03812597647989261,6.194947528893297e-16
PF00672,0,3,-0.11481526097139809,1.0245759287786641e-131
PF00672,0,4,0.12138559484858115,4.234788160686463e-147
PF00672,0,5,0.06401831595514852,4.885758147631585e-42
PF00672,0,6,-0.06551837811019005,5.952234704557075e-44
PF00672,0,7,-0.13270887198364564,1.117106800409671e-175
PF00672,0,8,-0.12707357929395602,3.971219247411945e-161
PF00672,0,9,-0.026373250613486048,2.2453841230868838e-08
PF00672,0,10,-0.24984117113683593,0.0
PF00672,0,11,-0.14111663626891363,1.330511638730499e-198
PF00672,1,0,-0.068904374475871,1.9541869160857598e-48
PF00672,1,1,-0.01727879390784054,0.00024901009951677826
PF00672,1,2,0.1280856499740444,1.0805001541225802e-163
PF00672,1,3,-0.011370517564699095,0.01592802510438359
PF00672,1,4,-0.11286215768049265,2.59760304270724e-127
PF00672,1,5,-0.11977900794258109,2.948137883775999e-143
PF00672,1,6,-0.08681046965148063,6.495836894834721e-76
PF00672,1,7,-0.008736630295664077,0.06400436488431574
PF00672,1,8,-0.10610453163492146,1.1403575164768487e-112
PF00672,1,9,-0.09642654171520716,2.6648289943745043e-93
PF00672,1,10,-0.09830836576236973,6.409416061005378e-97
PF00672,1,11,-0.16726437576177625,2.677343577892232e-279
PF00672,2,0,0.11947286698756646,1.569754031401359e-142
PF00672,2,1,-0.18033030203098538,0.0
PF00672,2,2,0.08255513107336464,8.290410673149745e-69
PF00672,2,3,-0.026839340541327,1.2644035714895804e-08
PF00672,2,4,-0.03811919050729398,6.268583033100898e-16
PF00672,2,5,0.22636820065363028,0.0
PF00672,2,6,0.030927810932147384,5.4504147134953395e-11
PF00672,2,7,0.02174122609396506,4.035288073401259e-06
PF00672,2,8,-0.05621702993273631,8.548906214940241e-33
PF00672,2,9,0.03632707911286487,1.3221393660364398e-14
PF00672,2,10,-0.11338895704049964,1.7151817662675746e-128
PF00672,2,11,-0.13695729957495664,4.434654607610691e-187
PF00672,3,0,-0.023805642433338686,4.4793090269054033e-07
PF00672,3,1,0.10893530631460856,1.0852983719152697e-118
PF00672,3,2,0.047997115036708914,2.4113835127623243e-24
PF00672,3,3,0.17222118646951445,3.203048292358332e-296
PF00672,3,4,-0.10515235866475993,1.1121159213313145e-110
PF00672,3,5,-0.05842310899919154,2.7489333439773627e-35
PF00672,3,6,-0.12144458290399482,3.05309718518426e-147
PF00672,3,7,-0.01262632843091941,0.00743259124855378
PF00672,3,8,0.04003256149740844,2.065124056908139e-17
PF00672,3,9,-0.04180765240921906,7.52425880531529e-19
PF00672,3,10,-0.012132774886564276,0.010106284371649283
PF00672,3,11,0.14742281641683636,9.334141265442968e-217
PF00672,4,0,-0.015741230324840077,0.0008461035388349603
PF00672,4,1,-0.05506365188441063,1.5748440291050979e-31
PF00672,4,2,-0.0633320596676099,3.547523860736395e-41
PF00672,4,3,-0.007970130175085618,0.09109542498164008
PF00672,4,4,-0.02068075422761665,1.1616342439948682e-05
PF00672,4,5,-0.01200350359956578,0.010935172388657778
PF00672,4,6,0.013018823670365895,0.005779591049168571
PF00672,4,7,0.08054162197216368,1.4306135822218384e-65
PF00672,4,8,-0.07655050171408476,2.1582453187595066e-59
PF00672,4,9,-0.037188358077910356,3.1092787160837696e-15
PF00672,4,10,-0.033399148729352374,1.416806783117915e-12
PF00672,4,11,-0.019570317374997558,3.3365493360304416e-05
PF00672,5,0,0.04184221828152024,7.044438696182832e-19
PF00672,5,1,-0.06577876207179152,2.7408935915582373e-44
PF00672,5,2,-0.04589144166842886,2.162643830929302e-22
PF00672,5,3,0.014558743789314809,0.0020250655445500426
PF00672,5,4,-0.07787814418086789,2.0598277808770023e-61
PF00672,5,5,0.03422002836973994,3.9703120811811407e-13
PF00672,5,6,-0.032324029015073905,7.16652975064176e-12
PF00672,5,7,0.07570897026097333,3.949942344700849e-58
PF00672,5,8,0.027034443088822923,9.914205595132838e-09
PF00672,5,9,-0.01986466371410462,2.5356027728309482e-05
PF00672,5,10,-0.005529125019058554,0.24113649286397637
PF00672,5,11,0.009369639105077182,0.04699427011889269
PF00672,6,0,-0.004780871777943331,0.3108106932443801
PF00672,6,1,-0.013205619399016402,0.005116033801203224
PF00672,6,2,-0.017991891331812587,0.00013646799811083382
PF00672,6,3,-0.010364741772759067,0.027997374912722632
PF00672,6,4,0.035237455347798,7.871336576413143e-14
PF00672,6,5,-0.11256671652679996,1.1858556562926448e-126
PF00672,6,6,-0.0597757645803865,7.304323686055465e-37
PF00672,6,7,-0.006847883275318526,0.14657727936916232
PF00672,6,8,-0.008486052153366614,0.0720146614454841
PF00672,6,9,0.027427878716956046,6.0401408055642505e-09
PF00672,6,10,0.011328060203747931,0.016325375417125768
PF00672,6,11,0.005949209692458616,0.2072337239867247
PF00672,7,0,-0.019439182302487874,3.7660730291565965e-05
PF00672,7,1,-0.007843501718959412,0.0963521379696571
PF00672,7,2,-0.021064541634821295,7.96754690162796e-06
PF00672,7,3,-0.03029266556882826,1.3331585037965564e-10
PF00672,7,4,-0.06356658637969027,1.8060243926296328e-41
PF00672,7,5,-0.034717322466780616,1.8105715690994736e-13
PF00672,7,6,0.008181319945532717,0.08284348038076296
PF00672,7,7,-0.059469582983673025,1.6724906377378305e-36
PF00672,7,8,-0.015636793149276844,0.0009160687000306604
PF00672,7,9,0.003349934930756886,0.47759968591201496
PF00672,7,10,-0.024056545016431195,3.386074647082024e-07
PF00672,7,11,0.0505951236519344,7.144445840391942e-27
PF00672,8,0,-0.05373871214949661,4.1559171107729486e-30
PF00672,8,1,-0.0575041809357433,3.083786439599423e-34
PF00672,8,2,0.057541844872159374,2.794965977394516e-34
PF00672,8,3,-0.046304594358064013,9.091737320838906e-23
PF00672,8,4,-0.03295892398175765,2.7685997105448653e-12
PF00672,8,5,-0.030884189744608402,5.799030224774593e-11
PF00672,8,6,-0.025803839028685244,4.4706754023994086e-08
PF00672,8,7,-0.03367516046212302,9.268090076643417e-13
PF00672,8,8,-0.03507643203408633,1.020004064126146e-13
PF00672,8,9,-0.06749811512806739,1.5154345178082273e-46
PF00672,8,10,-0.046582295533865864,5.056205023998678e-23
PF00672,8,11,-0.03106282745459756,4.4963216030564415e-11
PF00672,9,0,-0.008781622853692127,0.06264705864551917
PF00672,9,1,-0.05511614161784158,1.3810783442425509e-31
PF00672,9,2,-0.042402074113119505,2.4049770559880995e-19
PF00672,9,3,-0.052120352628751886,2.0339477265583796e-28
PF00672,9,4,-0.07763195739250174,4.9100800595296744e-61
PF00672,9,5,-0.026978684962587818,1.0629655081480525e-08
PF00672,9,6,-0.08304183350344042,1.3306590106771152e-69
PF00672,9,7,-0.01468325776165901,0.0018523877729144575
PF00672,9,8,-0.04766978979664361,4.914507656931746e-24
PF00672,9,9,-0.03895220171458099,1.4473337495409714e-16
PF00672,9,10,-0.0079493551356621,0.09194169006146405
PF00672,9,11,-0.0808198263427064,5.164963674840459e-66
PF00672,10,0,-0.027401033835074064,6.249210019958783e-09
PF00672,10,1,-0.030629011035756024,8.320268850760885e-11
PF00672,10,2,-0.03562851615694984,4.174656570400917e-14
PF00672,10,3,-0.014063229225057376,0.002868689968243685
PF00672,10,4,-0.050969468010002274,3.0117652645786532e-27
PF00672,10,5,0.011313965027920552,0.016459201627855004
PF00672,10,6,-0.014331484895530504,0.0023788040411091356
PF00672,10,7,-0.0017950922992045067,0.7035377157968982
PF00672,10,8,-0.03852745229333863,3.06793127766856e-16
PF00672,10,9,-0.012209543593658756,0.009640957989894774
PF00672,10,10,-0.058767954858660536,1.098730832136592e-35
PF00672,10,11,0.009120999893261305,0.05315760071113556
PF00672,11,0,-0.003608074232858434,0.4443352908553162
PF00672,11,1,-0.007410124943430914,0.11620021928188586
PF00672,11,2,-0.0647891247291625,5.13828636210067e-43
PF00672,11,3,-0.016707484099965336,0.000396901799502444
PF00672,11,4,-0.033872835495313496,6.824679545383822e-13
PF00672,11,5,0.014418052429963706,0.0022378740703154552
PF00672,11,6,0.002348680061057069,0.6185495854359516
PF00672,11,7,-0.031009851535999455,4.849421519811437e-11
PF00672,11,8,0.01350791871644416,0.004186850444515479
PF00672,11,9,0.05262259776230115,6.15797624267906e-29
PF00672,11,10,-0.031733725647437115,1.7076578414957438e-11
PF00672,11,11,-0.017492432337098313,0.00020842791227929037
