Protein family,Layer,Head,Correlation,P-value
PF10576,0,0,0.04449845456310367,3.329907799242582e-68
PF10576,0,1,-0.09793151882019122,0.0
PF10576,0,2,-0.12121837078799777,0.0
PF10576,0,3,-0.07022524181690329,3.169130024851995e-167
PF10576,0,4,-0.04555228344197859,2.1847793713508206e-71
PF10576,0,5,-0.08769739382991325,5.639339058177271e-260
PF10576,0,6,-0.15824542690169027,0.0
PF10576,0,7,-0.10187629084366057,0.0
PF10576,0,8,-0.10704584969579432,0.0
PF10576,0,9,-0.06330716011661168,3.2250736842834825e-136
PF10576,0,10,0.15611301988095044,0.0
PF10576,0,11,-0.10046170529851216,0.0
PF10576,1,0,0.055755784723836986,4.685817136813818e-106
PF10576,1,1,-0.07190057848045059,3.2015464836980327e-175
PF10576,1,2,-0.13596507035832436,0.0
PF10576,1,3,0.041642321139528045,5.965595324076726e-60
PF10576,1,4,-0.007181046544354841,0.004877971746269286
PF10576,1,5,-0.07729274579755668,3.023184353996108e-202
PF10576,1,6,0.01819995024286797,9.684814624119456e-13
PF10576,1,7,-0.05095636431842986,7.044603775588833e-89
PF10576,1,8,-0.07346492907881264,7.377784802015955e-183
PF10576,1,9,0.052986107228778716,5.918191939148628e-96
PF10576,1,10,0.14967736363178705,0.0
PF10576,1,11,-0.08706507124565059,2.95141231688539e-256
PF10576,2,0,-0.14399955114913446,0.0
PF10576,2,1,-0.07027557840695778,1.834318796139062e-167
PF10576,2,2,-0.09613663691290478,0.0
PF10576,2,3,-0.12817685860700553,0.0
PF10576,2,4,-0.09283620448895297,3.282960994684728e-291
PF10576,2,5,-0.1733340547848779,0.0
PF10576,2,6,-0.114086197851051,0.0
PF10576,2,7,-0.0938371760114298,1.6671922091023277e-297
PF10576,2,8,-0.1258702532165747,0.0
PF10576,2,9,-0.116108436497489,0.0
PF10576,2,10,-0.09853606210804727,0.0
PF10576,2,11,-0.058809865196585515,8.595779233416203e-118
PF10576,3,0,-0.07708813657415826,3.4827991730332124e-201
PF10576,3,1,0.021431772652975863,4.3837180856298224e-17
PF10576,3,2,-0.15370622424707245,0.0
PF10576,3,3,-0.0031885218948520823,0.21133842053405238
PF10576,3,4,-0.10748190708599377,0.0
PF10576,3,5,-0.1331714812720847,0.0
PF10576,3,6,-0.06840744662499045,9.154875467746294e-159
PF10576,3,7,-0.11733944376005544,0.0
PF10576,3,8,-0.011937850371820817,2.872024968350819e-06
PF10576,3,9,-0.11224969124804166,0.0
PF10576,3,10,-0.132199249553799,0.0
PF10576,3,11,-0.05322354383475933,8.44147566991645e-97
PF10576,4,0,-0.12659272090811638,0.0
PF10576,4,1,0.0344622284000799,1.3089646394799577e-41
PF10576,4,2,-0.17446876094527894,0.0
PF10576,4,3,-0.16763595879722826,0.0
PF10576,4,4,-0.11417774209576642,0.0
PF10576,4,5,-0.11141033721901696,0.0
PF10576,4,6,-0.14725128482531868,0.0
PF10576,4,7,-0.0714123945690584,7.158759585729404e-173
PF10576,4,8,-0.08986981091701461,5.846668186643414e-273
PF10576,4,9,-0.13171526012952092,0.0
PF10576,4,10,-0.11412895372897036,0.0
PF10576,4,11,-0.06678560595772809,2.0979455854975686e-151
PF10576,5,0,-0.030352269059103102,1.1731029280097764e-32
PF10576,5,1,-0.08925548456881456,2.9604375572291886e-269
PF10576,5,2,-0.13819494700555648,0.0
PF10576,5,3,-0.1328167938032971,0.0
PF10576,5,4,-0.07601139033484858,1.2050970576757218e-195
PF10576,5,5,-0.05608976938304572,2.6173833469053774e-107
PF10576,5,6,-0.12309888126759849,0.0
PF10576,5,7,-0.17281062823275117,0.0
PF10576,5,8,-0.1394736484284096,0.0
PF10576,5,9,-0.1570799998612012,0.0
PF10576,5,10,-0.1349122908454827,0.0
PF10576,5,11,-0.05554890343800869,2.7741103761982356e-105
PF10576,6,0,-0.11703647165480703,0.0
PF10576,6,1,-0.11488114394211671,0.0
PF10576,6,2,-0.0760774579325402,5.538806378201056e-196
PF10576,6,3,-0.003532435182813607,0.16614187983341214
PF10576,6,4,-0.07509521484273377,5.3972111220835223e-191
PF10576,6,5,-0.11870695352765108,0.0
PF10576,6,6,-0.021841948174639088,1.0997226000974168e-17
PF10576,6,7,-0.12284398784195466,0.0
PF10576,6,8,-0.07396940072221607,2.3424021116219705e-185
PF10576,6,9,-0.12473165653172119,0.0
PF10576,6,10,-0.08477906432798367,4.863742902179484e-243
PF10576,6,11,-0.0029994092865793303,0.23969018704541037
PF10576,7,0,-0.09806597138875744,0.0
PF10576,7,1,-0.08305493840710608,2.628746834467603e-233
PF10576,7,2,-0.06982705630001293,2.3624305247509406e-165
PF10576,7,3,-0.10043210343371513,0.0
PF10576,7,4,-0.0682873146846882,3.2577891835492058e-158
PF10576,7,5,-0.09929309359653882,0.0
PF10576,7,6,-0.06410643406642356,1.2336471426295389e-139
PF10576,7,7,-0.0550076026715246,2.820469103205353e-103
PF10576,7,8,-0.11871268732681102,0.0
PF10576,7,9,-0.07315569342392338,2.459300415746843e-181
PF10576,7,10,-0.061899413381500346,2.6467036412739844e-130
PF10576,7,11,-0.012656859708418646,6.989780978403749e-07
PF10576,8,0,-0.043355229397940544,7.788161560755927e-65
PF10576,8,1,-0.09006263402809093,3.9705460712220087e-274
PF10576,8,2,-0.05187599951557701,4.7454349801094244e-92
PF10576,8,3,-0.10546687599996105,0.0
PF10576,8,4,-0.00829312234567995,0.0011502679489230091
PF10576,8,5,-0.13682159076351602,0.0
PF10576,8,6,-0.04039638887153688,1.6036933636719583e-56
PF10576,8,7,-0.07948218986349015,8.79461738867633e-214
PF10576,8,8,-0.00365316901498073,0.1521336954757743
PF10576,8,9,-0.08324602928334235,2.243906727034619e-234
PF10576,8,10,-0.08107265363479367,2.2898156295678e-222
PF10576,8,11,-0.1088656209603505,0.0
PF10576,9,0,-0.052621823336809766,1.1546282361135361e-94
PF10576,9,1,-0.08722657675150347,3.3325841992744084e-257
PF10576,9,2,-0.107533244997888,0.0
PF10576,9,3,-0.005760599254547728,0.023935980677076963
PF10576,9,4,-0.08139447742051363,3.998155667912328e-224
PF10576,9,5,-0.05082380069083967,1.996890066557032e-88
PF10576,9,6,-0.035124319217707985,3.7116642356204285e-43
PF10576,9,7,-0.00042429514102305883,0.8679032784235421
PF10576,9,8,-0.04176582778862467,2.691822864709323e-60
PF10576,9,9,0.03805521456523296,2.337857552039886e-50
PF10576,9,10,-0.03486786250354025,1.4872852033255707e-42
PF10576,9,11,-0.04937749943986444,1.4475288654444351e-83
PF10576,10,0,-0.10405918172433169,0.0
PF10576,10,1,-0.06969184255927231,1.015655156415103e-164
PF10576,10,2,-0.018465620292385132,4.5173376820777603e-13
PF10576,10,3,-0.04225106021220993,1.1543927340244974e-61
PF10576,10,4,-0.04124700625318444,7.499032842324497e-59
PF10576,10,5,-0.0799970884423896,1.5272452645364768e-216
PF10576,10,6,-0.08419739674101626,9.843327420588916e-240
PF10576,10,7,-0.05043031189136285,4.330720084428223e-87
PF10576,10,8,-0.03822073413432934,8.811883649336086e-51
PF10576,10,9,-0.07940846645272469,2.177533156674767e-213
PF10576,10,10,-0.043496980240917756,3.0092186324562255e-65
PF10576,10,11,-0.05585383374488055,2.0125166614942258e-106
PF10576,11,0,-0.04257170271589542,1.4123494133899546e-62
PF10576,11,1,-0.11423623036011975,0.0
PF10576,11,2,-0.06544573308972013,1.854876838530771e-145
PF10576,11,3,-0.04623190188802308,1.7669748918895614e-73
PF10576,11,4,-0.02137382826924388,5.318478467446891e-17
PF10576,11,5,-0.07582460273315451,1.08120021302028e-194
PF10576,11,6,-0.010574275329327728,3.395200752621829e-05
PF10576,11,7,-0.024242998302192273,2.008669589994001e-21
PF10576,11,8,-0.008403135101852314,0.0009875130574159262
PF10576,11,9,-0.03936535795398997,9.218298515501112e-54
PF10576,11,10,-0.05062364766874066,9.57921790069352e-88
PF10576,11,11,-0.021933561821880963,8.04693098072803e-18
