Protein family,Layer,Head,Correlation,P-value
PF00699,0,0,-0.2113047056177224,0.0
PF00699,0,1,-0.27047719969971334,0.0
PF00699,0,2,-0.2986546078218853,0.0
PF00699,0,3,-0.09739304298276143,3.6657515114160874e-181
PF00699,0,4,0.38756847731593735,0.0
PF00699,0,5,-0.2974619921708452,0.0
PF00699,0,6,-0.06199833046606773,2.2757833851376463e-74
PF00699,0,7,-0.27167270028865004,0.0
PF00699,0,8,-0.2517842668382934,0.0
PF00699,0,9,-0.34432396752100414,0.0
PF00699,0,10,0.07026414441328488,4.935587442410964e-95
PF00699,0,11,-0.2087469523655677,0.0
PF00699,1,0,-0.586494569595779,0.0
PF00699,1,1,-0.2751787566127916,0.0
PF00699,1,2,-0.342930051822565,0.0
PF00699,1,3,-0.3537392119148127,0.0
PF00699,1,4,-0.5142750665338355,0.0
PF00699,1,5,-0.4665246169423626,0.0
PF00699,1,6,-0.39710233566187797,0.0
PF00699,1,7,-0.4582902965140763,0.0
PF00699,1,8,-0.5296139997033081,0.0
PF00699,1,9,-0.6105497382671852,0.0
PF00699,1,10,-0.22464014607570398,0.0
PF00699,1,11,-0.39942246577830054,0.0
PF00699,2,0,-0.40974259390528345,0.0
PF00699,2,1,-0.5221729269506539,0.0
PF00699,2,2,-0.569069471464601,0.0
PF00699,2,3,-0.424184523688697,0.0
PF00699,2,4,-0.2286378169091217,0.0
PF00699,2,5,0.05529959132144198,1.6038406367059679e-59
PF00699,2,6,-0.35597082444097405,0.0
PF00699,2,7,-0.5072682136178889,0.0
PF00699,2,8,-0.5111183064129442,0.0
PF00699,2,9,-0.17825947888314944,0.0
PF00699,2,10,-0.49718749470778556,0.0
PF00699,2,11,-0.581778721490738,0.0
PF00699,3,0,-0.5363662633318925,0.0
PF00699,3,1,-0.4331792654040876,0.0
PF00699,3,2,-0.4318685489240524,0.0
PF00699,3,3,-0.10320728553110405,2.663660855984997e-203
PF00699,3,4,-0.45516516002480895,0.0
PF00699,3,5,-0.5184097338098802,0.0
PF00699,3,6,-0.44157917543669495,0.0
PF00699,3,7,-0.554594081299902,0.0
PF00699,3,8,0.21348780275762214,0.0
PF00699,3,9,-0.5878264862263305,0.0
PF00699,3,10,-0.5700325777018458,0.0
PF00699,3,11,-0.47379650213956354,0.0
PF00699,4,0,-0.500333657261046,0.0
PF00699,4,1,-0.0013046150010708733,0.7013109471981525
PF00699,4,2,-0.5762927360679332,0.0
PF00699,4,3,-0.5481721443753946,0.0
PF00699,4,4,-0.5797190632747262,0.0
PF00699,4,5,-0.5012780384301648,0.0
