Protein family,Layer,Correlation,P value
PF13466,0,0.34165054359196384,1.2493126430996011e-80
PF13466,1,0.37539046718961244,3.038855722783861e-98
PF13466,2,0.42117554562060827,9.616891835927784e-126
PF13466,3,0.37025378483297267,2.0115359085925588e-95
PF13466,4,0.36110330232944354,1.5951482616557454e-90
PF13466,5,0.36197622600858625,5.524637726344519e-91
PF13466,6,0.3605777467725163,3.0154734170557285e-90
PF13466,7,0.38405855065958466,4.030942660145316e-103
PF13466,8,0.39853243794810644,1.335045256317648e-111
PF13466,9,0.41715008618826316,3.781957623683719e-123
PF13466,10,0.40076586152530813,6.008505309881981e-113
PF13466,11,0.44383455763092544,5.022952705499512e-141
