Protein family,Layer,Correlation,P value
PF03147,0,0.07352540468908288,1.58264555139014e-12
PF03147,1,0.029530052438303048,0.004580865614656968
PF03147,2,0.037657962749695684,0.0002992405528514286
PF03147,3,0.03967713215589642,0.00013897341326872057
PF03147,4,0.010402693890668918,0.31801264970943527
PF03147,5,-0.002657424093859483,0.7986624237260949
PF03147,6,-0.012056307034291072,0.2471536776683781
PF03147,7,-0.02215202545144161,0.03345608429609729
PF03147,8,-0.0162344387000199,0.11913907103999383
PF03147,9,-0.009245714768721318,0.3748166597440663
PF03147,10,-0.015689011379501117,0.1320585795364433
PF03147,11,-0.017738070177097175,0.08861341998392497
