Protein family,Layer,Head,Correlation,P-value
PF03463,0,0,-0.1766312023113577,0.0
PF03463,0,1,-0.1826292839779712,0.0
PF03463,0,2,-0.15469102083115058,0.0
PF03463,0,3,-0.16458339735508729,0.0
PF03463,0,4,-0.03756662140449969,9.533956013852213e-20
PF03463,0,5,-0.10476440440135176,1.4251100411403754e-142
PF03463,0,6,-0.15351333142901616,1.150198622658755e-305
PF03463,0,7,-0.23198833228375695,0.0
PF03463,0,8,-0.20189622778797453,0.0
PF03463,0,9,-0.12290379549706829,7.486409053905379e-196
PF03463,0,10,-0.17296345286487824,0.0
PF03463,0,11,-0.1777097898486289,0.0
PF03463,1,0,-0.16394156439973284,0.0
PF03463,1,1,-0.15572631097655798,0.0
PF03463,1,2,-0.0015691760405930695,0.7041438216324163
PF03463,1,3,-0.2028893382459075,0.0
PF03463,1,4,-0.17481520206123355,0.0
PF03463,1,5,-0.10813154468315196,8.313077023751614e-152
PF03463,1,6,-0.05701023332746313,2.2994595799710463e-43
PF03463,1,7,-0.09773960701185079,2.893764878106494e-124
PF03463,1,8,-0.10073433037829231,6.52828522391522e-132
PF03463,1,9,-0.22769557457565584,0.0
PF03463,1,10,-0.2261900259306145,0.0
PF03463,1,11,-0.26686420142556744,0.0
PF03463,2,0,-0.16330536566848758,0.0
PF03463,2,1,-0.401620917482001,0.0
PF03463,2,2,-0.07777218271522317,2.9934130262033187e-79
PF03463,2,3,-0.15045494833631762,1.4826839333243368e-293
PF03463,2,4,-0.05568989757949944,1.8619852112442674e-41
PF03463,2,5,-0.07824649753189894,3.363001363169229e-80
PF03463,2,6,-0.24610135630372607,0.0
PF03463,2,7,-0.16489593993808388,0.0
PF03463,2,8,-0.20682115211678748,0.0
PF03463,2,9,-0.30727209498845465,0.0
PF03463,2,10,-0.21536020390440222,0.0
PF03463,2,11,-0.09843941387245905,4.961222187931564e-126
PF03463,3,0,-0.041994393104082685,2.7860437861806006e-24
PF03463,3,1,0.24361687808039265,0.0
PF03463,3,2,0.04404526747723211,1.5016197209104036e-26
PF03463,3,3,-0.046698691319602886,1.2114714215412542e-29
PF03463,3,4,-0.37774544783847064,0.0
PF03463,3,5,-0.12858396311097725,2.4955396771578797e-214
PF03463,3,6,-0.4718282922262016,0.0
PF03463,3,7,0.059786287615391315,1.5992689208423728e-47
