Protein family,Layer,Correlation,P value
PF14317,0,0.18984752319766154,1.0446872896987397e-160
PF14317,1,0.13351850845811622,9.499365072001181e-80
PF14317,2,0.12133329316455756,4.4245977240408834e-66
PF14317,3,0.07986356261720232,1.6839735161459604e-29
PF14317,4,0.0840665969287448,1.6219938921044394e-32
PF14317,5,0.11046639787600067,5.106854076982852e-55
PF14317,6,0.1192621956046002,6.85283001996449e-64
PF14317,7,0.0971264282605088,7.052656286047785e-43
PF14317,8,0.07604331597905759,6.823902053977216e-27
PF14317,9,0.06657980241206511,5.582709906702569e-21
PF14317,10,0.05266058714975636,1.087364306284075e-13
PF14317,11,0.05205500733855559,2.0687933722129516e-13
