Protein family,Layer,Head,Correlation,P-value
PF03463,0,0,-0.1976063131674859,0.0
PF03463,0,1,-0.19292484873099164,0.0
PF03463,0,2,-0.1616835039463319,0.0
PF03463,0,3,-0.15584740016568624,0.0
PF03463,0,4,0.004448223019011143,0.28172501444899023
PF03463,0,5,-0.04976033303773191,1.9582311511811684e-33
PF03463,0,6,-0.17266772736178795,0.0
PF03463,0,7,-0.23153154325209904,0.0
PF03463,0,8,-0.20527254292739244,0.0
PF03463,0,9,-0.05630491536455922,2.4355612972598628e-42
PF03463,0,10,-0.15360211661737788,5.074597716903577e-306
PF03463,0,11,-0.1903581337058413,0.0
PF03463,1,0,-0.17476908435225003,0.0
PF03463,1,1,-0.2985561845791269,0.0
PF03463,1,2,0.026854170197137452,8.045758671236703e-11
PF03463,1,3,-0.22302610785880736,0.0
PF03463,1,4,-0.18914989879583377,0.0
PF03463,1,5,-0.19811904796744742,0.0
PF03463,1,6,-0.06937717689858605,2.0906627991797276e-63
PF03463,1,7,-0.08215121655741998,3.087492945196663e-88
PF03463,1,8,-0.22864600433488755,0.0
PF03463,1,9,-0.22082251926664206,0.0
PF03463,1,10,-0.2734848410229795,0.0
PF03463,1,11,-0.25636777510067,0.0
PF03463,2,0,-0.01893996972111439,4.566316665895566e-06
PF03463,2,1,-0.35745387658755307,0.0
PF03463,2,2,0.04589502076806527,1.0941365424913067e-28
PF03463,2,3,-0.18674585072977157,0.0
PF03463,2,4,0.03881356507827292,5.65570840097145e-21
PF03463,2,5,0.027498519639397465,2.81843267250025e-11
PF03463,2,6,-0.16067346543450856,0.0
PF03463,2,7,-0.07380830951714928,1.5262594038314855e-71
PF03463,2,8,-0.184631847165253,0.0
PF03463,2,9,-0.19235474159998922,0.0
PF03463,2,10,-0.24840452085489964,0.0
PF03463,2,11,-0.11396314983633993,1.6638685629047315e-168
PF03463,3,0,-0.03493664915815055,2.741789474683773e-17
PF03463,3,1,0.2145582093472391,0.0
PF03463,3,2,-0.08595550576864257,1.903513189561322e-96
PF03463,3,3,-0.02046328029932149,7.325601644544344e-07
PF03463,3,4,-0.3158137289433414,0.0
PF03463,3,5,-0.1804947376031206,0.0
PF03463,3,6,-0.37193630819992546,0.0
PF03463,3,7,-0.012357454824318609,0.0027847151240753907
PF03463,3,8,0.21533182096531853,0.0
PF03463,3,9,0.1865293202894362,0.0
PF03463,3,10,-0.010500943701179802,0.011045874257597052
PF03463,3,11,0.06984837774530911,3.0133813037608996e-64
PF03463,4,0,-0.0314951248764946,2.4679528587703228e-14
PF03463,4,1,-0.04998383288878173,1.013324371864143e-33
PF03463,4,2,-0.0992351249765686,4.700651331802914e-128
PF03463,4,3,0.0037248270690678617,0.36737991361005873
PF03463,4,4,0.002095687834211686,0.6120522492348974
PF03463,4,5,-0.0662061886951087,6.807518525575427e-58
PF03463,4,6,-0.06875970085815458,2.5942656763181537e-62
PF03463,4,7,-0.051957244548727376,2.6562236912478294e-36
PF03463,4,8,-0.10692125319073863,1.875770460946865e-148
PF03463,4,9,-0.09190001675827827,4.995343902227474e-110
PF03463,4,10,-0.11687522894208491,3.5190278713888873e-177
PF03463,4,11,-0.07852312838185911,9.339198362701112e-81
PF03463,5,0,-0.11578475918013081,6.622927029734715e-174
PF03463,5,1,-0.07432818637964467,1.5698491772091432e-72
PF03463,5,2,-0.12173373777717865,3.7471535869092605e-192
PF03463,5,3,-0.08128573964873104,2.0185842626346627e-86
PF03463,5,4,-0.03243196238158056,4.1460548464480744e-15
PF03463,5,5,-0.03310248132266411,1.12102862480311e-15
PF03463,5,6,-0.025147179710907505,1.1544167703288789e-09
PF03463,5,7,-0.10943909431039935,1.7929252401675762e-155
PF03463,5,8,-0.018666587208172977,6.254116882396302e-06
PF03463,5,9,-0.03381074060092786,2.737446101996485e-16
PF03463,5,10,-0.13022609126521847,7.853818064671084e-220
PF03463,5,11,-0.07681329955180073,2.3868445605011338e-77
PF03463,6,0,-0.020574542013884756,6.37619538697065e-07
PF03463,6,1,-0.08808411115466738,3.326777145596582e-101
PF03463,6,2,-0.044372756100907865,6.3746413556227744e-27
PF03463,6,3,-0.05234317483283749,8.087559374671512e-37
PF03463,6,4,-0.05243965815708209,5.999450756445037e-37
PF03463,6,5,0.01675687823203895,5.005657306512623e-05
PF03463,6,6,-0.08936023964739974,4.105740178476487e-104
PF03463,6,7,-0.05933701935144018,7.765320864365255e-47
PF03463,6,8,-0.022967285608748264,2.7179506071875947e-08
PF03463,6,9,-0.040074489322321,2.9646866990369994e-22
PF03463,6,10,-0.09252202462670371,1.676463221774243e-111
PF03463,6,11,-0.07662840664374686,5.5178993949221994e-77
PF03463,7,0,-0.06539472780393472,1.5929392085082356e-56
PF03463,7,1,-0.04898985913553712,1.8554429608641954e-32
PF03463,7,2,-0.04482237902309189,1.9460104865102488e-27
PF03463,7,3,-0.007412175060412652,0.07285584084333334
PF03463,7,4,-0.03847786361211962,1.2207492412513722e-20
PF03463,7,5,-0.06750157080914246,4.0945173991119966e-60
PF03463,7,6,-0.07480352974045983,1.9346542447873797e-73
PF03463,7,7,-0.07875864898562765,3.1262467007925626e-81
PF03463,7,8,0.0007710587882781754,0.8519803266049011
PF03463,7,9,-0.09200461591500889,2.8272739614739114e-110
PF03463,7,10,-0.03831890827490992,1.7532692128908795e-20
PF03463,7,11,-0.000878437082463556,0.831656696257872
PF03463,8,0,-0.01576550820925092,0.00013595774596533226
PF03463,8,1,-0.06046565884480618,1.4335086842793872e-48
PF03463,8,2,0.006090266850867192,0.1405282342284506
