Protein family,Layer,Correlation,P value
PF13377,0,0.4813313278463218,1.6792683034108103e-251
PF13377,1,0.510024818424013,3.4035166110583385e-287
PF13377,2,0.4811880654802083,2.482666434894585e-251
PF13377,3,0.4119530588108716,4.322683085847142e-178
PF13377,4,0.3363746889345378,1.0638878827014116e-115
PF13377,5,0.28374749714685016,1.8515373361857054e-81
PF13377,6,0.28674630037199333,3.178571107857242e-83
PF13377,7,0.30872789160976466,7.74379952088362e-97
PF13377,8,0.34151733751735275,1.979099158435485e-119
PF13377,9,0.3596313263714521,3.82028565254183e-133
PF13377,10,0.3758940367925824,3.045864662710239e-146
PF13377,11,0.3649045232781624,2.617213070888077e-137
