Protein family,Layer,Head,Correlation,P-value
PF12172,0,0,0.11512961782599856,6.516380272184272e-27
PF12172,0,1,-0.31480242051049795,3.0064193452144965e-198
PF12172,0,2,-0.26290132783556913,1.073424420684354e-136
PF12172,0,3,0.03721537865543196,0.0005367171339423877
PF12172,0,4,0.5105022897829352,0.0
PF12172,0,5,-0.053511650504406136,6.377119693982258e-07
PF12172,0,6,0.16219071874080387,4.6409947111271836e-52
PF12172,0,7,-0.29199597269193345,1.3635657068866626e-169
PF12172,0,8,-0.28924393780146984,2.6264786103925565e-166
PF12172,0,9,-0.32894026635890117,2.4762012909848032e-217
PF12172,0,10,-0.3918014812502499,0.0
PF12172,0,11,-0.2319801136539619,5.013098006683585e-106
PF12172,1,0,-0.23733248417635108,4.997623030842882e-111
PF12172,1,1,0.3531601048592087,1.7919638419440483e-252
PF12172,1,2,-0.10834959999994755,5.2594430481713644e-24
PF12172,1,3,-0.3077074588161349,4.6856878139564825e-189
PF12172,1,4,-0.44678048664036385,0.0
PF12172,1,5,-0.358574678218232,9.147918901089713e-261
PF12172,1,6,-0.36030236053925957,1.910692046330415e-263
PF12172,1,7,-0.3251420635543022,4.1907668923240655e-212
PF12172,1,8,-0.42521413652731516,0.0
PF12172,1,9,-0.42864443914188743,0.0
PF12172,1,10,0.029242137783497626,0.00653397238481253
PF12172,1,11,-0.35661874022184453,9.450477980427998e-258
PF12172,2,0,-0.2753776348618785,2.602420687209282e-150
PF12172,2,1,-0.3720563785265006,3.982679186125355e-282
PF12172,2,2,-0.42837106248163703,0.0
PF12172,2,3,-0.33458130488077753,3.083811362541665e-225
PF12172,2,4,-0.5216518804413102,0.0
PF12172,2,5,0.5158242744512721,0.0
PF12172,2,6,-0.20476774150597124,1.5574117996323003e-82
PF12172,2,7,-0.37698980400209664,3.339253765760072e-290
PF12172,2,8,-0.42176973479965824,0.0
PF12172,2,9,0.06996837753673586,7.312546909897056e-11
PF12172,2,10,-0.409726079745485,0.0
PF12172,2,11,-0.6484670109419994,0.0
PF12172,3,0,-0.39951600915190655,0.0
PF12172,3,1,-0.3994098209726809,0.0
PF12172,3,2,-0.3031428962442662,2.8272555267854904e-183
PF12172,3,3,0.2200943589757163,2.2683298512875054e-95
PF12172,3,4,-0.3775010654397588,4.7707134911742665e-291
PF12172,3,5,-0.3442475397708914,3.5593557099481175e-239
PF12172,3,6,-0.14037522192505758,2.5967096853846573e-39
PF12172,3,7,-0.5053527345274736,0.0
PF12172,3,8,-0.013287951083000024,0.2165866878561515
PF12172,3,9,-0.49466047828936244,0.0
PF12172,3,10,-0.44874688492604264,0.0
PF12172,3,11,-0.19131506725548944,4.3213027601330824e-72
PF12172,4,0,-0.4855593501625102,0.0
PF12172,4,1,-0.2876952471038186,1.7851821607340547e-164
PF12172,4,2,-0.40566413288502495,0.0
PF12172,4,3,-0.47282298714696397,0.0
PF12172,4,4,-0.4824731089163858,0.0
PF12172,4,5,-0.4254999297608687,0.0
PF12172,4,6,-0.41612228372199406,0.0
PF12172,4,7,-0.20364787285560965,1.23292773242369e-81
PF12172,4,8,-0.40638547541756254,0.0
PF12172,4,9,-0.47965886121237483,0.0
PF12172,4,10,-0.4833935325699391,0.0
PF12172,4,11,-0.42424076468130667,0.0
PF12172,5,0,0.3305631050899408,1.3704473071285985e-219
PF12172,5,1,-0.1994036405047132,2.805756039647657e-78
PF12172,5,2,-0.5630018715988505,0.0
PF12172,5,3,-0.3308105154374762,6.188276778369527e-220
PF12172,5,4,-0.5288549926979218,0.0
PF12172,5,5,0.07197063753453789,2.070086486052019e-11
PF12172,5,6,-0.47768749525757676,0.0
PF12172,5,7,-0.2872035594942051,6.776283929532102e-164
PF12172,5,8,-0.18110405388853432,1.1385041458577544e-64
PF12172,5,9,-0.5296727724288516,0.0
PF12172,5,10,-0.3996551580824616,0.0
PF12172,5,11,0.001478462416953202,0.8906536080269712
PF12172,6,0,-0.5152395559740494,0.0
PF12172,6,1,-0.1550118554557795,1.1809533614994464e-47
PF12172,6,2,-0.5232664799404478,0.0
PF12172,6,3,0.007731016252053872,0.4722078757078786
PF12172,6,4,-0.43421571288606425,0.0
PF12172,6,5,-0.4620757403997214,0.0
PF12172,6,6,-0.527682776242441,0.0
PF12172,6,7,-0.3966076611376614,0.0
PF12172,6,8,-0.5176282041580016,0.0
PF12172,6,9,-0.4469825643782276,0.0
PF12172,6,10,-0.3825803124948212,1.584765836760525e-299
PF12172,6,11,0.26175644387219305,1.753389093365063e-135
PF12172,7,0,-0.3044690350948545,6.062353082475403e-185
PF12172,7,1,-0.4377124700610325,0.0
PF12172,7,2,-0.4964416151558902,0.0
PF12172,7,3,-0.5255630954119953,0.0
PF12172,7,4,-0.4842669679684677,0.0
PF12172,7,5,-0.2439204957000123,2.3323907259424937e-117
PF12172,7,6,0.018131608511216465,0.09176990265837232
PF12172,7,7,-0.36907801151411807,2.559424833321598e-277
PF12172,7,8,-0.4754070053984185,0.0
PF12172,7,9,-0.36660266897741245,2.3199755940978776e-273
PF12172,7,10,-0.521702432975188,0.0
PF12172,7,11,0.16332498803442588,8.942656242352656e-53
PF12172,8,0,-0.5350436720421847,0.0
PF12172,8,1,-0.5363873212174958,0.0
PF12172,8,2,0.44470418782096227,0.0
PF12172,8,3,-0.3814085068382605,1.4773080315036735e-297
PF12172,8,4,-0.3965380292096591,0.0
PF12172,8,5,-0.434524214420482,0.0
PF12172,8,6,0.03881115377504551,0.00030587163241255585
PF12172,8,7,-0.47605867498530263,0.0
PF12172,8,8,0.12335581889846842,1.1159206288803901e-30
PF12172,8,9,-0.3241207730076492,1.0360560143994956e-210
PF12172,8,10,-0.5125388937332873,0.0
PF12172,8,11,-0.4580888125105815,0.0
PF12172,9,0,-0.5034742023936296,0.0
PF12172,9,1,-0.3394070786811762,3.919723256063052e-232
PF12172,9,2,-0.4924926821405739,0.0
PF12172,9,3,-0.5272275293456011,0.0
PF12172,9,4,-0.5298127226883068,0.0
PF12172,9,5,-0.4712871657507714,0.0
PF12172,9,6,-0.3721312698855473,3.01038386365621e-282
PF12172,9,7,-0.18824308604432605,8.199015882939225e-70
PF12172,9,8,-0.5072989905498315,0.0
PF12172,9,9,0.03236044004720677,0.0026135593587609317
PF12172,9,10,-0.20493138735549504,1.1498857176025618e-82
PF12172,9,11,-0.5229311951874693,0.0
PF12172,10,0,-0.4747964834244864,0.0
PF12172,10,1,-0.26228763787588405,4.806005461448731e-136
PF12172,10,2,-0.36761929974466295,5.551576005649226e-275
PF12172,10,3,-0.4916800527992516,0.0
PF12172,10,4,-0.5212303126426795,0.0
PF12172,10,5,-0.4156239751447979,0.0
PF12172,10,6,-0.45571648430521416,0.0
PF12172,10,7,-0.4703331878774652,0.0
PF12172,10,8,-0.5399946275742836,0.0
PF12172,10,9,-0.49784554276964216,0.0
PF12172,10,10,-0.5285354256239909,0.0
PF12172,10,11,-0.4693763747042376,0.0
PF12172,11,0,-0.4955517192990307,0.0
PF12172,11,1,-0.46881555231369215,0.0
PF12172,11,2,-0.45695336083459803,0.0
PF12172,11,3,-0.5321232470570789,0.0
PF12172,11,4,-0.49940205303131974,0.0
PF12172,11,5,-0.521752041686577,0.0
PF12172,11,6,-0.5159199853702999,0.0
PF12172,11,7,-0.52009985792532,0.0
PF12172,11,8,-0.41559957426071664,0.0
PF12172,11,9,0.04860266944843032,6.123856651744746e-06
PF12172,11,10,-0.41801810652531624,0.0
PF12172,11,11,-0.5280012265567702,0.0
