Protein family,Layer,Head,Correlation,P-value
PF13466,0,0,-0.09490416280898281,2.8331793309898844e-07
PF13466,0,1,-0.16895915312199508,4.07731468152777e-20
PF13466,0,2,-0.26720591673704563,7.378395710177544e-49
PF13466,0,3,-0.05731006505911471,0.001961759836547828
PF13466,0,4,0.26959207697597576,9.78843589266752e-50
PF13466,0,5,-0.20810570900470363,6.810274587065166e-30
PF13466,0,6,-0.0408827898846912,0.027268886647072742
PF13466,0,7,-0.2230766853797874,3.306729921055785e-34
PF13466,0,8,-0.25361931705284896,4.943271169407032e-44
PF13466,0,9,-0.2663312750835723,1.5391455721999335e-48
PF13466,0,10,-0.09630454532943067,1.8850522852370098e-07
PF13466,0,11,-0.2529631306601317,8.315479164643902e-44
PF13466,1,0,-0.29528669743568997,9.314530969525704e-60
PF13466,1,1,0.11312262788014324,9.030043045313421e-10
PF13466,1,2,-0.011521020811880733,0.5340148463193405
PF13466,1,3,-0.08388902241318795,5.731430827511734e-06
PF13466,1,4,-0.3605710775864806,3.0399159178393826e-90
PF13466,1,5,-0.28321340042106097,6.4622184226003304e-55
PF13466,1,6,-0.22764942884116696,1.3700776639048828e-35
PF13466,1,7,-0.250281803668405,6.855119219651446e-43
PF13466,1,8,-0.40023397737021,1.260162461338261e-112
PF13466,1,9,-0.3852257099858905,8.655548087996418e-104
PF13466,1,10,-0.020859333788002785,0.2601470724832282
PF13466,1,11,-0.3216915735722269,3.4432793984528813e-71
PF13466,2,0,-0.19014487567945895,3.8470695830902534e-25
PF13466,2,1,-0.3673551238842636,7.461426037226161e-94
PF13466,2,2,-0.31408898352367337,8.906441447603113e-68
PF13466,2,3,-0.2475397965143006,5.774910322063301e-42
PF13466,2,4,-0.2997443172277044,1.3223260671843342e-61
PF13466,2,5,0.268747737257561,2.0051575743501253e-49
PF13466,2,6,-0.12493479849345736,1.2866956728346022e-11
PF13466,2,7,-0.30702626809395506,1.0755950634587821e-64
PF13466,2,8,-0.3189570002277817,5.969721682427194e-70
PF13466,2,9,0.08292326979108643,7.337349864209336e-06
PF13466,2,10,-0.33086520636963046,1.9296537587763635e-75
PF13466,2,11,-0.4415499512180235,1.9729022543611497e-139
PF13466,3,0,-0.3810834557316319,1.977658182576639e-101
PF13466,3,1,-0.26145472279177845,8.825623090220326e-47
PF13466,3,2,-0.1713732692576031,1.1720999711469761e-20
PF13466,3,3,0.09349247451928833,4.2476756896002696e-07
PF13466,3,4,-0.3202803228850667,1.506594784304072e-70
PF13466,3,5,-0.21579772352450383,4.542607578017123e-32
PF13466,3,6,-0.27925602540020406,2.217656811563552e-53
PF13466,3,7,-0.2993236526518388,1.9820863235908475e-61
PF13466,3,8,-0.00012741820780170636,0.9945124859389358
PF13466,3,9,-0.3675217573739055,6.068006822063381e-94
PF13466,3,10,-0.2990368411752612,2.6109873401068152e-61
PF13466,3,11,-0.1667538728329483,1.2531265659610086e-19
PF13466,4,0,-0.26652698148038517,1.3059735656491284e-48
PF13466,4,1,-0.15695200583574573,1.5326306371310217e-17
PF13466,4,2,-0.25408387788757447,3.417466599624259e-44
PF13466,4,3,-0.33408354262119955,5.73942499260769e-77
PF13466,4,4,-0.33775395710210804,9.892850108414239e-79
PF13466,4,5,-0.23076721507354372,1.5010086471401208e-36
PF13466,4,6,-0.2909639852302463,5.3679933071311715e-58
PF13466,4,7,-0.026437509685228112,0.1535041374847928
PF13466,4,8,-0.34830582208210237,6.169001132117075e-84
PF13466,4,9,-0.321505101103057,4.186685106277461e-71
PF13466,4,10,-0.30950727496528035,9.091691672860745e-66
PF13466,4,11,-0.33769846713729507,1.0523552112517366e-78
PF13466,5,0,0.15648073312563934,1.9165940344251595e-17
PF13466,5,1,-0.04066248583802026,0.02811049517533161
PF13466,5,2,-0.3212673895521008,5.370433426288564e-71
PF13466,5,3,-0.2292760218942282,4.340110320809024e-36
PF13466,5,4,-0.2869102939771045,2.255044041971653e-56
PF13466,5,5,-0.08579790849919366,3.4898672259337118e-06
PF13466,5,6,-0.2950050467505192,1.215660423560159e-59
PF13466,5,7,-0.1688710489263181,4.265624280641764e-20
PF13466,5,8,-0.00354533095395291,0.8482385512276155
PF13466,5,9,-0.33954577238250866,1.3354754646964763e-79
PF13466,5,10,-0.2589952565454734,6.5857207539766005e-46
PF13466,5,11,-0.11123870896727048,1.711972424742485e-09
PF13466,6,0,-0.28601371458379177,5.112046476452935e-56
PF13466,6,1,-0.0685632365494429,0.000211234079160981
PF13466,6,2,-0.34979303120405364,1.097182363113153e-84
PF13466,6,3,-0.08219217009820806,8.830378843073438e-06
PF13466,6,4,-0.25700463525388767,3.297790897204883e-45
PF13466,6,5,-0.2025875398257091,2.196951816211948e-28
PF13466,6,6,-0.3393098360407862,1.7397270646306214e-79
PF13466,6,7,-0.21224216140282987,4.717047086680545e-31
PF13466,6,8,-0.3356420369444739,1.0303550631101328e-77
PF13466,6,9,-0.2757758312675019,4.737508430621733e-52
PF13466,6,10,-0.24717534625220686,7.650695351538472e-42
PF13466,6,11,0.08348138241012981,6.363342302639812e-06
PF13466,7,0,-0.2602811275148244,2.30897682273296e-46
PF13466,7,1,-0.26407253499148803,1.0147959815249317e-47
PF13466,7,2,-0.3656499941476134,6.143651252408002e-93
PF13466,7,3,-0.3531749383705561,2.0881037011135195e-86
PF13466,7,4,-0.30535139980353154,5.6253011957347e-64
PF13466,7,5,-0.20591241766962032,2.741656856618373e-29
PF13466,7,6,-0.02050965241494288,0.26822353710851926
PF13466,7,7,-0.2210620029370938,1.3147880751991264e-33
PF13466,7,8,-0.25763746733944565,1.9791190129887552e-45
PF13466,7,9,-0.23075643024187406,1.5126204172664143e-36
PF13466,7,10,-0.33602464777125857,6.748552826919766e-78
PF13466,7,11,0.11046804542505163,2.217315403272961e-09
PF13466,8,0,-0.3539046074422526,8.82593088755542e-87
PF13466,8,1,-0.296068966232569,4.438750693099135e-60
PF13466,8,2,0.27581898027362006,4.562285360240464e-52
PF13466,8,3,-0.27567372699713605,5.179275781544729e-52
PF13466,8,4,-0.15524587086741082,3.431797095552461e-17
PF13466,8,5,-0.2826441370875288,1.0784802580283214e-54
PF13466,8,6,0.04663069669224975,0.011790679897309139
PF13466,8,7,-0.33823807040494763,5.7665736908843e-79
PF13466,8,8,-0.01654132994783005,0.37190541128545196
PF13466,8,9,-0.21005171969478253,1.9531623147640247e-30
PF13466,8,10,-0.3087723770602792,1.8947935904356428e-65
PF13466,8,11,-0.29559804407009865,6.936876691365332e-60
PF13466,9,0,-0.28788730951399527,9.21177174768668e-57
PF13466,9,1,-0.23965865348708776,2.282333054740073e-39
PF13466,9,2,-0.2955260445261287,7.426389729259484e-60
PF13466,9,3,-0.2424308159675102,2.855126155548392e-40
PF13466,9,4,-0.28176159288172364,2.380245210590014e-54
PF13466,9,5,-0.31865502687691993,8.165460703116264e-70
PF13466,9,6,-0.2073979657997259,1.0692832804970753e-29
PF13466,9,7,-0.1725351098230335,6.390847259300366e-21
PF13466,9,8,-0.3225951608798538,1.3326891087973885e-71
PF13466,9,9,-0.061122589201341504,0.0009589803316354325
PF13466,9,10,-0.06783221415935148,0.0002467676599588984
PF13466,9,11,-0.3034494905764334,3.6335681154121937e-63
PF13466,10,0,-0.20201573660721006,3.1308917873871475e-28
PF13466,10,1,-0.20972491083764017,2.4110821038250856e-30
PF13466,10,2,-0.19487964328131413,2.3806657946958256e-26
PF13466,10,3,-0.31792999812859657,1.7295582915514814e-69
PF13466,10,4,-0.302877040771365,6.353367723637481e-63
PF13466,10,5,-0.28719304589668854,1.7409676067023852e-56
PF13466,10,6,-0.2908896819796371,5.7518605129232725e-58
PF13466,10,7,-0.3043377282286468,1.5230360585588813e-63
PF13466,10,8,-0.3376327821328874,1.132211520860887e-78
PF13466,10,9,-0.338437184222314,4.617283872899266e-79
PF13466,10,10,-0.31426819447720994,7.41992479243473e-68
PF13466,10,11,-0.2968892290518232,2.035365558935491e-60
PF13466,11,0,-0.2972954189936206,1.3821307664673137e-60
PF13466,11,1,-0.30252619012199417,8.942617855643008e-63
PF13466,11,2,-0.25158361473898877,2.4694317381790433e-43
