Protein family,Layer,Correlation,P value
PF10576,0,0.12566261128286418,0.0
PF10576,1,0.11840246516800437,0.0
PF10576,2,0.09440891405803487,3.944720623806657e-301
PF10576,3,0.0673397568146279,6.713757112540997e-154
PF10576,4,0.0819322433901782,4.45276128686292e-227
PF10576,5,0.06469066048229366,3.6815488695714775e-142
PF10576,6,0.05122077801693236,8.745322481630792e-90
PF10576,7,0.043744068244800025,5.693334659560292e-66
PF10576,8,0.021419589281711074,4.565740366427585e-17
PF10576,9,0.019808017442461023,8.136133131720603e-15
PF10576,10,0.01804263355935838,1.513677154244382e-12
PF10576,11,0.019894806198025066,6.216651278219042e-15
