Protein family,Layer,Correlation,P value
PF13466,0,0.3924041942615514,5.86004740668853e-108
PF13466,1,0.42877185241138616,9.756274319052104e-131
PF13466,2,0.4413926714451673,2.5374834334704542e-139
PF13466,3,0.35251831425912783,4.5233513224746534e-86
PF13466,4,0.28652779728759226,3.198535860980313e-56
PF13466,5,0.2508515612681205,4.3879778669520486e-43
PF13466,6,0.23061265619594234,1.676214860244341e-36
PF13466,7,0.23590170056536666,3.6597694194183957e-38
PF13466,8,0.274767227206646,1.141030633290939e-51
PF13466,9,0.3355186630871555,1.1808380296007265e-77
PF13466,10,0.3498682675984172,1.0051531813214022e-84
PF13466,11,0.35880166115228207,2.5710129583618033e-89
