Protein family,Layer,Correlation,P value
PF12872,0,0.08460304586927929,3.1524249215957653e-28
PF12872,1,0.052014626032004685,1.3240870008810153e-11
PF12872,2,0.07022403411585458,6.260645358426594e-20
PF12872,3,0.05498610495201613,8.485428537087594e-13
PF12872,4,0.03217183708534679,2.8754537955809445e-05
PF12872,5,0.03402195802110288,9.697622619008971e-06
PF12872,6,0.03274357316765112,2.0673381379431057e-05
PF12872,7,0.04557165573760749,3.086013143402128e-09
PF12872,8,0.048234880896250366,3.52516974788156e-10
PF12872,9,0.04876468421352646,2.2575315771296088e-10
PF12872,10,0.05831947372735154,3.263159109016782e-14
PF12872,11,0.062429806772430894,4.540553023322831e-16
