Protein family,Layer,Head,Correlation,P-value
PF00168,0,0,0.08044422263295258,5.56785810130368e-96
PF00168,0,1,-0.1466830267506182,0.0
PF00168,0,2,-0.18391743368961352,0.0
PF00168,0,3,0.036032353265116696,1.4151691277995656e-20
PF00168,0,4,0.3052333628724346,0.0
PF00168,0,5,-0.01771854381482407,4.838818340561764e-06
PF00168,0,6,0.0838715408233595,3.407972769569578e-104
PF00168,0,7,-0.11712576666349543,5.82811381360908e-202
PF00168,0,8,-0.08220797327441096,3.6495396094148884e-100
PF00168,0,9,-0.16044358123480595,0.0
PF00168,0,10,0.23336272023047136,0.0
PF00168,0,11,-0.0328430960862854,2.3377864137240885e-17
PF00168,1,0,-0.09363610447300405,1.709436085007136e-129
PF00168,1,1,0.13690933493779184,7.222286023411694e-276
PF00168,1,2,-0.30515604241650357,0.0
PF00168,1,3,-0.21081005648870174,0.0
PF00168,1,4,-0.19687369544613148,0.0
PF00168,1,5,-0.12063111257740887,3.4196657645919985e-214
PF00168,1,6,-0.22181531626583406,0.0
PF00168,1,7,-0.09225075541713834,9.859252062310935e-126
PF00168,1,8,-0.14830126744576902,0.0
PF00168,1,9,-0.1334589380717233,4.021315361115764e-262
PF00168,1,10,-0.007735063919446763,0.045973245846972675
PF00168,1,11,-0.14930467986805257,0.0
PF00168,2,0,0.09674372622670853,3.883766352030161e-138
PF00168,2,1,-0.13051935115923752,1.0686512361283872e-250
PF00168,2,2,-0.10076298556172414,9.654940485088782e-150
PF00168,2,3,0.06978443048276478,1.2174084679372872e-72
PF00168,2,4,-0.13252941214993402,1.7592827846267841e-258
PF00168,2,5,0.3751692783685791,0.0
PF00168,2,6,0.02776761763237509,7.762075108954912e-13
PF00168,2,7,-0.13961504692651203,6.686170105579441e-287
PF00168,2,8,-0.10928696141334715,6.04751255885249e-176
PF00168,2,9,0.09191438414224254,7.915185676312444e-125
PF00168,2,10,-0.0795831720089237,5.685655315774682e-94
PF00168,2,11,-0.16725716111261182,0.0
PF00168,3,0,-0.15096636329823213,0.0
PF00168,3,1,-0.18148742344943358,0.0
PF00168,3,2,-0.14719053248728395,0.0
PF00168,3,3,0.0712658489752273,1.0992392382699433e-75
PF00168,3,4,-0.14445628006642874,3.337294876984353e-307
PF00168,3,5,-0.14204079800640243,5.529485023460403e-297
PF00168,3,6,-0.12467292513966337,9.338072631525072e-229
PF00168,3,7,-0.241538619911643,0.0
PF00168,3,8,0.009962183780709141,0.010162252984947691
PF00168,3,9,-0.23529234669565238,0.0
PF00168,3,10,-0.1729121960005606,0.0
PF00168,3,11,-0.1220897499177188,2.1629397020105178e-219
PF00168,4,0,-0.13535498717014996,1.2469787130178288e-269
PF00168,4,1,0.1421852584575383,1.3694567720036972e-297
PF00168,4,2,-0.21756974194821155,0.0
PF00168,4,3,-0.16060599778587503,0.0
PF00168,4,4,-0.19083995578619908,0.0
PF00168,4,5,-0.13213192047379915,6.227077097913189e-257
PF00168,4,6,-0.12630465820914763,8.926666692054409e-235
PF00168,4,7,0.1600511421335128,0.0
PF00168,4,8,-0.20653365569176263,0.0
PF00168,4,9,-0.09646151316864876,2.432389792742114e-137
PF00168,4,10,-0.15510693914850301,0.0
PF00168,4,11,-0.11648296700137944,9.297418902278675e-200
PF00168,5,0,0.2163694473378933,0.0
PF00168,5,1,-0.0263366720659186,1.0762910730010556e-11
PF00168,5,2,-0.14650838006655603,0.0
PF00168,5,3,0.033629934258635426,3.999143232324885e-18
PF00168,5,4,-0.19491758836890274,0.0
PF00168,5,5,0.13044807904204758,2.007080480913074e-250
PF00168,5,6,-0.1066549056370413,1.2710025838653882e-167
PF00168,5,7,0.03017565409538731,6.864845375223838e-15
PF00168,5,8,-0.008732834501024063,0.024254612882176427
PF00168,5,9,-0.13975716493579018,1.735587995350607e-287
PF00168,5,10,0.012421250619170711,0.0013518167114522498
PF00168,5,11,0.10972949813124706,2.301037742990935e-177
PF00168,6,0,-0.12596287675909051,1.6527961670817086e-233
PF00168,6,1,0.00390958262186601,0.31313905090769223
PF00168,6,2,-0.1182402782409756,8.254546911277906e-206
PF00168,6,3,-0.047227438360815784,3.4606063021820393e-34
PF00168,6,4,-0.07618097356464526,3.020364226084372e-86
PF00168,6,5,-0.2914315083710841,0.0
PF00168,6,6,-0.14649530574081612,0.0
PF00168,6,7,-0.0686172147387301,2.7471236947512637e-70
PF00168,6,8,-0.11381839495391456,9.272725722065147e-191
