Protein family,Layer,Head,Correlation,P-value
PF07677,0,0,-0.27300822170420314,0.0
PF07677,0,1,-0.2776410671394693,0.0
PF07677,0,2,-0.24140325253542122,0.0
PF07677,0,3,-0.2634006035827594,0.0
PF07677,0,4,-0.03560912442420555,4.842028093986631e-12
PF07677,0,5,-0.1155631308587671,4.762634693327401e-112
PF07677,0,6,-0.23495131637482203,0.0
PF07677,0,7,-0.31434753736034643,0.0
PF07677,0,8,-0.2954841462085121,0.0
PF07677,0,9,-0.10788093739298565,8.182591798670617e-98
PF07677,0,10,-0.05168019529587481,1.0989355531521077e-23
PF07677,0,11,-0.2978675645902482,0.0
PF07677,1,0,-0.2722036138270155,0.0
PF07677,1,1,-0.14299551961100312,4.217033974004142e-171
PF07677,1,2,-0.0855380731170217,4.646911169205515e-62
PF07677,1,3,-0.20298677066265008,0.0
PF07677,1,4,-0.23709209544275556,0.0
PF07677,1,5,-0.21184105480426538,0.0
PF07677,1,6,-0.1075976996491425,2.6220628843698644e-97
PF07677,1,7,-0.11404464675652368,3.7229008212531395e-109
PF07677,1,8,-0.22155811235589412,0.0
PF07677,1,9,-0.07218129499105473,1.1597411920974556e-44
PF07677,1,10,-0.11081187192299183,3.9790750412682964e-103
PF07677,1,11,-0.31149996808668645,0.0
PF07677,2,0,0.10284779883863562,4.994288427736411e-89
PF07677,2,1,-0.4176244943810458,0.0
PF07677,2,2,-0.053718262862251835,1.837150680870752e-25
PF07677,2,3,-0.13112705496434574,5.752309855957831e-144
PF07677,2,4,-0.08009507960728603,1.2999592475700028e-54
PF07677,2,5,0.021031296818739612,4.496071786221931e-05
PF07677,2,6,-0.16662571165701426,1.954209459419628e-232
PF07677,2,7,-0.1494131035256624,8.617983624406719e-187
PF07677,2,8,-0.2556469570807745,0.0
PF07677,2,9,-0.16958919495516517,8.018248641300275e-241
PF07677,2,10,-0.3019300471773044,0.0
PF07677,2,11,-0.11282919714904799,7.217467569157709e-107
PF07677,3,0,-0.052636543256241494,1.6430748847923783e-24
PF07677,3,1,0.23905618135876452,0.0
PF07677,3,2,-0.03874389329577964,5.524385938403666e-14
PF07677,3,3,0.052571208755042835,1.872903470001021e-24
PF07677,3,4,-0.2663353114622266,0.0
PF07677,3,5,-0.2246353155663755,0.0
PF07677,3,6,-0.34449139015437263,0.0
PF07677,3,7,-0.045922023014026724,4.954527103417345e-19
PF07677,3,8,0.14379324179366046,5.173067894410176e-173
PF07677,3,9,-0.0866360669625171,1.2741519949734112e-63
PF07677,3,10,-0.08799962833876245,1.3725732678347196e-65
PF07677,3,11,-0.06597234313607485,1.4016292949135428e-37
PF07677,4,0,-0.06336852048311097,8.466057930339755e-35
PF07677,4,1,-0.038613762726136036,6.70017289838923e-14
PF07677,4,2,-0.14550019590319765,3.8629245706940345e-177
PF07677,4,3,-0.09258361744197469,1.973201489248992e-72
PF07677,4,4,-0.058688248629015935,4.4301344864651396e-30
PF07677,4,5,-0.11696389576377064,9.426995118300658e-115
PF07677,4,6,-0.11306736312941242,2.582998887156856e-107
PF07677,4,7,-0.012971496007389106,0.011852942070157585
PF07677,4,8,-0.0977878203950522,1.2621138397061948e-80
PF07677,4,9,-0.1354607237268279,1.360383119442654e-153
PF07677,4,10,-0.16697553807416682,2.0373288623298615e-233
PF07677,4,11,-0.08956631467087182,6.893754533415962e-68
PF07677,5,0,-0.02390713092101306,3.5096009141381366e-06
PF07677,5,1,0.02264209517090427,1.1180551901323562e-05
PF07677,5,2,-0.18376647828487513,4.0611348304256513e-283
PF07677,5,3,-0.021604440400836998,2.769801145065579e-05
PF07677,5,4,-0.05852569403621332,6.365741825173935e-30
PF07677,5,5,0.0010505859682181883,0.8385043500100477
PF07677,5,6,-0.0787191142795938,8.289349218505096e-53
PF07677,5,7,-0.1228603520024024,1.6908045345456926e-126
PF07677,5,8,-0.013226118393910701,0.010291028162322182
PF07677,5,9,-0.08536144289656807,8.25189831965545e-62
PF07677,5,10,-0.03217259666035403,4.2955238572639156e-10
