Protein family,Layer,Head,Correlation,P-value
PF10114,0,0,0.006636478838513584,0.19563603441630492
PF10114,0,1,-0.3869457170990077,0.0
PF10114,0,2,-0.3052183013527213,0.0
PF10114,0,3,-0.41171162525504446,0.0
PF10114,0,4,0.04145575451347803,6.111077032397559e-16
PF10114,0,5,-0.042715763332852395,7.875040603661878e-17
PF10114,0,6,-0.42002743559095784,0.0
PF10114,0,7,-0.38342142902614523,0.0
PF10114,0,8,-0.4011361163440533,0.0
PF10114,0,9,-0.18545683413024816,2.32102181387172e-291
PF10114,0,10,0.019467081322416396,0.00014686240679239075
PF10114,0,11,-0.4069932192571027,0.0
PF10114,1,0,-0.21936845933282997,0.0
PF10114,1,1,-0.36765850367792535,0.0
PF10114,1,2,-0.24732969098202615,0.0
PF10114,1,3,-0.3172169474303626,0.0
PF10114,1,4,-0.45988511355238526,0.0
PF10114,1,5,-0.4174214285861919,0.0
PF10114,1,6,-0.42643716398051096,0.0
PF10114,1,7,-0.32137334100922343,0.0
PF10114,1,8,-0.4086657825331902,0.0
PF10114,1,9,-0.07793607332699352,2.597842298118572e-52
PF10114,1,10,-0.3055759645693469,0.0
PF10114,1,11,-0.2983633982738632,0.0
PF10114,2,0,-0.4288615191101319,0.0
PF10114,2,1,-0.36214458849960757,0.0
PF10114,2,2,-0.1635717739152816,3.0035657832182677e-226
PF10114,2,3,-0.39178857763857555,0.0
PF10114,2,4,0.010613140620664438,0.03849425446978017
PF10114,2,5,-0.3724572027444064,0.0
PF10114,2,6,-0.35001868554381427,0.0
PF10114,2,7,-0.27772493223338457,0.0
PF10114,2,8,-0.34854208418972765,0.0
PF10114,2,9,-0.2662079036891012,0.0
PF10114,2,10,-0.33385407224621966,0.0
PF10114,2,11,-0.12151939095352891,4.926877333185466e-125
PF10114,3,0,-0.11620445901525417,1.9660037428948316e-114
PF10114,3,1,0.1327782886423888,4.2211476883685855e-149
PF10114,3,2,-0.06702442404224829,4.0622491854509356e-39
PF10114,3,3,-0.14094620710615385,6.12528533314532e-168
PF10114,3,4,-0.501272432413372,0.0
PF10114,3,5,-0.2525994444583409,0.0
PF10114,3,6,-0.28813686364050356,0.0
PF10114,3,7,-0.14858527770089902,1.2928563756384309e-186
PF10114,3,8,0.17147211261919504,9.352253667356097e-249
PF10114,3,9,0.19408292368426783,0.0
PF10114,3,10,-0.33062439019390494,0.0
PF10114,3,11,-0.10455804496199554,6.765318692989247e-93
PF10114,4,0,-0.250457864918398,0.0
PF10114,4,1,0.021354996724350855,3.1195039901451516e-05
PF10114,4,2,-0.13519476994868132,1.4904030675485254e-154
PF10114,4,3,-0.26056225744825456,0.0
PF10114,4,4,-0.1134732422236156,3.568257703626269e-109
PF10114,4,5,-0.27097560667456144,0.0
PF10114,4,6,-0.2881253926473114,0.0
PF10114,4,7,-0.04911866139594508,9.371216107866552e-22
PF10114,4,8,-0.08220511766582346,5.13539228149663e-58
PF10114,4,9,-0.23707216383751503,0.0
PF10114,4,10,-0.24256569196092614,0.0
PF10114,4,11,-0.07619823881216005,4.458067618142264e-50
PF10114,5,0,-0.0017235918299677738,0.7368032949936913
PF10114,5,1,0.07647735393232069,1.9663621174851825e-50
PF10114,5,2,-0.17674635042081796,2.0877081971705886e-264
PF10114,5,3,0.02373113024812459,3.6908931524340432e-06
PF10114,5,4,0.12738366841116736,2.696801469098702e-137
PF10114,5,5,-0.16665459779361597,6.737414771233536e-235
PF10114,5,6,0.0010077849864537718,0.8442097056687772
PF10114,5,7,0.13953402478221175,1.3410503339921295e-164
PF10114,5,8,0.049367466656946364,5.845702100402446e-22
PF10114,5,9,0.003415050712154207,0.5054654713693356
PF10114,5,10,0.06441755813409834,2.9322633526784356e-36
PF10114,5,11,-0.05701488580527447,9.313233645746105e-29
PF10114,6,0,-0.17455765777961565,7.510213256168976e-258
PF10114,6,1,-0.11619011429249015,2.0967127010281827e-114
PF10114,6,2,-0.18970680736823142,5.141290479411494e-305
PF10114,6,3,-0.08929828053410034,3.599101091542539e-68
PF10114,6,4,-0.15527694585122512,8.073767935691083e-204
PF10114,6,5,-0.1362503351085537,5.751678648121965e-157
PF10114,6,6,0.026428083170410236,2.547065047469635e-07
PF10114,6,7,-0.0948404182875694,1.0766374646794467e-76
PF10114,6,8,-0.17737896829663308,2.5619038780094e-266
PF10114,6,9,-0.1425882943781373,7.229183692410116e-172
PF10114,6,10,-0.14343020855636388,6.711439547436524e-174
PF10114,6,11,0.07377744097151118,4.760360460498766e-47
PF10114,7,0,-0.3102107819395007,0.0
PF10114,7,1,-0.21520337579552548,0.0
PF10114,7,2,-0.21562150150735643,0.0
PF10114,7,3,-0.22935523459559343,0.0
PF10114,7,4,-0.23721120646915012,0.0
PF10114,7,5,-0.2232103089275892,0.0
PF10114,7,6,-0.34937133447777124,0.0
PF10114,7,7,-0.16909728321248463,7.149484900544459e-242
PF10114,7,8,-0.15566093890780147,7.86624805732956e-205
PF10114,7,9,-0.22126816933728963,0.0
PF10114,7,10,-0.142845950002618,1.7316559805426925e-172
PF10114,7,11,-0.016104247304121605,0.0016870081214621381
PF10114,8,0,-0.07061419061707269,3.0720213722904693e-43
PF10114,8,1,-0.0884599752271794,6.315703352648412e-67
PF10114,8,2,0.18685858668004462,7.918742256682077e-296
PF10114,8,3,-0.24128837986098328,0.0
PF10114,8,4,0.012758871856839646,0.012846391983673182
PF10114,8,5,-0.22044232577708808,0.0
PF10114,8,6,-0.15551898788889326,1.8617600578951264e-204
PF10114,8,7,-0.22346410404636755,0.0
PF10114,8,8,0.12263495353608121,2.545378119464314e-127
PF10114,8,9,-0.14276393681361263,2.729839314792364e-172
PF10114,8,10,-0.1870606200152887,1.7859072360962284e-296
PF10114,8,11,-0.19784104142608372,0.0
PF10114,9,0,-0.2309629567178884,0.0
PF10114,9,1,-0.3200511627768601,0.0
PF10114,9,2,-0.20316007065750372,0.0
PF10114,9,3,-0.06917943206844314,1.446777883395824e-41
PF10114,9,4,-0.324306691189926,0.0
PF10114,9,5,-0.21165420938355153,0.0
PF10114,9,6,-0.058185013430313404,6.97799162259613e-30
PF10114,9,7,0.10646487023773157,2.9023657912742077e-96
PF10114,9,8,-0.1589076283166769,1.7393682427760387e-213
PF10114,9,9,0.011339377896496495,0.027023576749832537
PF10114,9,10,0.03227680424762373,3.065883024730266e-10
PF10114,9,11,-0.19019007957205644,1.3720555992702759e-306
PF10114,10,0,-0.3389747490324179,0.0
PF10114,10,1,-0.07858790997947053,3.659574008676257e-53
PF10114,10,2,0.12443150432634692,4.762442371080071e-131
PF10114,10,3,-0.13513525383780872,2.0361356966813865e-154
PF10114,10,4,-0.16057864177720033,5.158426909857119e-218
PF10114,10,5,-0.1888889184244334,2.3153256791810722e-302
PF10114,10,6,-0.27930610127606254,0.0
PF10114,10,7,-0.04007487062051426,5.3889976238857555e-15
PF10114,10,8,-0.03101731170677987,1.4517670169286443e-09
PF10114,10,9,-0.20498116084109064,0.0
PF10114,10,10,-0.19668686245699107,0.0
PF10114,10,11,-0.11669162311155304,2.1984454667230374e-115
PF10114,11,0,0.1255218606606115,2.444059793434753e-133
PF10114,11,1,0.13205877896085164,1.6950402675761635e-147
PF10114,11,2,-0.18286599180466057,3.368064364407029e-283
PF10114,11,3,-0.16869109966919596,1.0505541972008256e-240
PF10114,11,4,-0.03491836755748253,9.69666359889779e-12
PF10114,11,5,-0.027561014046935856,7.647986474796453e-08
PF10114,11,6,0.03506429095197858,7.951722625727256e-12
PF10114,11,7,0.011658002149198156,0.023007328819850167
PF10114,11,8,-0.17893547194977677,4.737199995449348e-271
PF10114,11,9,0.08841829560290505,7.277367031179289e-67
PF10114,11,10,0.21315884420846987,0.0
PF10114,11,11,-0.011592119160253055,0.023792414449146513
