Protein family,Layer,Head,Correlation,P-value
PF10114,0,0,-0.09549277896863875,9.87535868470874e-78
PF10114,0,1,-0.4116397874670768,0.0
PF10114,0,2,-0.4570871487463157,0.0
PF10114,0,3,-0.43880249467848415,0.0
PF10114,0,4,0.5174531117072724,0.0
PF10114,0,5,-0.11709266190352206,3.595821061024161e-116
PF10114,0,6,-0.28275311567541644,0.0
PF10114,0,7,-0.40684625080595377,0.0
PF10114,0,8,-0.46858179830684205,0.0
PF10114,0,9,-0.5126492169929339,0.0
PF10114,0,10,-0.2841357023720933,0.0
PF10114,0,11,-0.4618901236427608,0.0
PF10114,1,0,-0.6324658756848331,0.0
PF10114,1,1,-0.19748129131987419,0.0
PF10114,1,2,-0.6105775546536273,0.0
PF10114,1,3,-0.5577032868156206,0.0
PF10114,1,4,-0.5974200391180432,0.0
PF10114,1,5,-0.5646855448120208,0.0
PF10114,1,6,-0.6108125768847033,0.0
PF10114,1,7,-0.45367436335967865,0.0
PF10114,1,8,-0.5696705513392479,0.0
PF10114,1,9,-0.6215360313341368,0.0
PF10114,1,10,-0.38522686188460487,0.0
PF10114,1,11,-0.4205010112516335,0.0
PF10114,2,0,-0.37801004586367815,0.0
PF10114,2,1,-0.3237989347727458,0.0
PF10114,2,2,-0.3741164929577574,0.0
PF10114,2,3,-0.42200831071036604,0.0
PF10114,2,4,-0.1851751027759083,1.8161049474164056e-290
PF10114,2,5,0.08695245041942351,1.0188823972904673e-64
PF10114,2,6,-0.3120805773439356,0.0
PF10114,2,7,-0.4538162941343397,0.0
PF10114,2,8,-0.442995482902974,0.0
PF10114,2,9,-0.12697742587389144,1.992649806422999e-136
PF10114,2,10,-0.43662095897313796,0.0
PF10114,2,11,-0.4650561721319119,0.0
PF10114,3,0,-0.38467781528852557,0.0
PF10114,3,1,-0.4405358167700194,0.0
PF10114,3,2,-0.2733245089218734,0.0
PF10114,3,3,0.054470044260610986,2.17973068517744e-26
PF10114,3,4,-0.3886680301077941,0.0
PF10114,3,5,-0.39845955002960487,0.0
PF10114,3,6,-0.2189621106911876,0.0
PF10114,3,7,-0.5069640594642918,0.0
PF10114,3,8,0.2053841856908127,0.0
PF10114,3,9,-0.3092181882849898,0.0
PF10114,3,10,-0.4715640038375346,0.0
PF10114,3,11,-0.29372800811798383,0.0
PF10114,4,0,-0.42128311125875223,0.0
PF10114,4,1,0.07817840333245782,1.2560420883945922e-52
PF10114,4,2,-0.4969008066649248,0.0
PF10114,4,3,-0.4942433694491201,0.0
PF10114,4,4,-0.5350761453443309,0.0
PF10114,4,5,-0.4718550259127452,0.0
PF10114,4,6,-0.46232097573945924,0.0
PF10114,4,7,-0.16346370310067915,5.994500997354627e-226
PF10114,4,8,-0.3722408736206398,0.0
PF10114,4,9,-0.43042990375996754,0.0
PF10114,4,10,-0.5088323298221489,0.0
PF10114,4,11,-0.4694634086511525,0.0
PF10114,5,0,-0.07688594892411055,5.900960747085426e-51
PF10114,5,1,-0.1020798509020625,1.301337623262197e-88
PF10114,5,2,-0.570337121371594,0.0
PF10114,5,3,-0.2693687668467576,0.0
PF10114,5,4,-0.44481674256747383,0.0
PF10114,5,5,-0.08710797922754733,6.055218408455677e-65
PF10114,5,6,-0.4476108514255468,0.0
PF10114,5,7,-0.4083509467028606,0.0
PF10114,5,8,-0.24739613882823616,0.0
PF10114,5,9,-0.4858403560483133,0.0
PF10114,5,10,-0.3571045697038615,0.0
PF10114,5,11,0.003502162950810391,0.4946691370551163
PF10114,6,0,-0.5086936674653395,0.0
