Protein family,Layer,Head,Correlation,P-value
PF03463,0,0,-0.19708866628779514,0.0
PF03463,0,1,-0.19442993732205963,0.0
PF03463,0,2,-0.16137909784244883,0.0
PF03463,0,3,-0.15542488593339537,0.0
PF03463,0,4,0.04770401581373486,7.3220590544232905e-31
PF03463,0,5,-0.013178943877381055,0.0014258086671212508
PF03463,0,6,-0.16312860695345024,0.0
PF03463,0,7,-0.2305871646420213,0.0
PF03463,0,8,-0.20311538267251508,0.0
PF03463,0,9,-0.04794332846829171,3.7217434124427098e-31
PF03463,0,10,-0.15503684422309547,0.0
PF03463,0,11,-0.18767749091151895,0.0
PF03463,1,0,-0.15785166769577647,0.0
PF03463,1,1,-0.28335635643710544,0.0
PF03463,1,2,0.011446792346998347,0.005602955900268196
PF03463,1,3,-0.20097327755074304,0.0
PF03463,1,4,-0.18230849290369988,0.0
PF03463,1,5,-0.20383503035282777,0.0
PF03463,1,6,-0.07838733181755857,1.7526650728806437e-80
PF03463,1,7,-0.08452062494143009,2.631718955566425e-93
PF03463,1,8,-0.23636129394221814,0.0
PF03463,1,9,-0.21900967610231978,0.0
PF03463,1,10,-0.2578202773762519,0.0
PF03463,1,11,-0.2552597932387218,0.0
PF03463,2,0,0.02760141318538299,2.378488730621204e-11
PF03463,2,1,-0.354595536110487,0.0
PF03463,2,2,0.04541175262100236,4.0354844665193725e-28
PF03463,2,3,-0.15985429344448376,0.0
PF03463,2,4,0.03721799485420847,2.0665148062447965e-19
PF03463,2,5,0.06376310698249066,8.019686995587895e-54
PF03463,2,6,-0.10975676412084316,2.270188878931928e-156
PF03463,2,7,-0.0807418143929461,2.7294496534132343e-85
PF03463,2,8,-0.18647320994998756,0.0
PF03463,2,9,-0.19119696696939875,0.0
PF03463,2,10,-0.2654824919660421,0.0
PF03463,2,11,-0.16056247359870046,0.0
PF03463,3,0,-0.04621946095870012,4.5207310493514683e-29
PF03463,3,1,0.21028906205327713,0.0
PF03463,3,2,-0.07120192700796871,1.0735140046169017e-66
PF03463,3,3,0.01952166169634262,2.305784085432046e-06
PF03463,3,4,-0.31272288474388726,0.0
PF03463,3,5,-0.24632024544317474,0.0
PF03463,3,6,-0.3810521090590372,0.0
PF03463,3,7,-0.04387559180633046,2.3349707143052858e-26
PF03463,3,8,0.23473673023717767,0.0
PF03463,3,9,0.2042574652191596,0.0
PF03463,3,10,-0.0583596094439618,2.3188629525031972e-45
PF03463,3,11,0.050180745504733254,5.6573778538446736e-34
PF03463,4,0,-0.004373097001166408,0.28993147929514257
PF03463,4,1,-0.04803027209693433,2.908138398109698e-31
PF03463,4,2,-0.1298139179774077,1.9181163012961968e-218
PF03463,4,3,-0.004547125993607596,0.2711636747549621
PF03463,4,4,-0.0032864775776802664,0.42643160129675606
PF03463,4,5,-0.0774861594555053,1.111457741389763e-78
PF03463,4,6,-0.08746506763008292,8.274585842516184e-100
PF03463,4,7,0.0039030732570548895,0.3449003270226342
PF03463,4,8,-0.11626650481272517,2.389300235550318e-175
PF03463,4,9,-0.07911438476346337,5.94869806860683e-82
PF03463,4,10,-0.13141322348843207,7.457598274652768e-224
PF03463,4,11,-0.10464231655125765,3.0413688345963565e-142
PF03463,5,0,-0.053152283948110134,6.497603074303426e-38
PF03463,5,1,-0.023898757447732354,7.285739207291593e-09
PF03463,5,2,-0.11438352565821547,9.609911363335862e-170
PF03463,5,3,-0.009156512906113337,0.02670004538678165
PF03463,5,4,-0.017147340903382692,3.3265979088119784e-05
PF03463,5,5,-0.025914139756087227,3.5611645425688134e-10
PF03463,5,6,-0.029321788673910002,1.2726623026102586e-12
PF03463,5,7,-0.075979504161753,1.0282851055691416e-75
PF03463,5,8,0.04259576776796804,6.178300177558919e-25
PF03463,5,9,-0.027106180441337925,5.3533851823838404e-11
PF03463,5,10,-0.02802026586905754,1.1844871682993713e-11
PF03463,5,11,0.03867864909214254,7.711122002395499e-21
PF03463,6,0,-0.011566706240528817,0.005123307807330928
PF03463,6,1,-0.046042189210184395,7.332969109511886e-29
PF03463,6,2,-0.04461595281861097,3.360208471924464e-27
PF03463,6,3,-0.02487618608892624,1.7351403172841312e-09
PF03463,6,4,-0.0609560659335875,2.47115731653442e-49
PF03463,6,5,0.054767370480734386,3.775143763118604e-40
PF03463,6,6,-0.0895551877134538,1.463277245507218e-104
PF03463,6,7,-0.04247896145968746,8.291576486359422e-25
PF03463,6,8,-0.04959803986763323,3.1537570053365576e-33
PF03463,6,9,-0.058530626686542984,1.2851028335055801e-45
PF03463,6,10,-0.07824191972748798,3.434932797815096e-80
PF03463,6,11,-0.05749812295968125,4.417569355461898e-44
PF03463,7,0,-0.04933139014105918,6.877294140088873e-33
PF03463,7,1,-0.06038373665616861,1.9201818214281098e-48
PF03463,7,2,-0.052213021661628105,1.2089576995500357e-36
PF03463,7,3,-0.04934351650474699,6.638331385407765e-33
PF03463,7,4,-0.040628632125479604,7.879657942228583e-23
PF03463,7,5,-0.047289134931040845,2.3478784243019894e-30
PF03463,7,6,-0.028242416302505898,8.150183101627127e-12
PF03463,7,7,-0.06949748467537213,1.276564089030958e-63
PF03463,7,8,-0.023947386762573075,6.79253803429725e-09
PF03463,7,9,-0.039389414913070415,1.4882701223660166e-21
PF03463,7,10,-0.05961637538385602,2.911135066440756e-47
PF03463,7,11,-0.009984607060028764,0.015679845257608533
PF03463,8,0,-0.04224015216880713,1.5093208958823327e-24
PF03463,8,1,-0.05981128551573353,1.464153479352666e-47
PF03463,8,2,-0.01484352655998688,0.00032782927290407956
PF03463,8,3,-0.05202427720256692,2.161895935455738e-36
PF03463,8,4,-0.028748473151754803,3.4410981902805827e-12
PF03463,8,5,-0.03453180814564843,6.324568322859557e-17
PF03463,8,6,0.015354095487947245,0.000202537077894393
PF03463,8,7,-0.05938772974042252,6.5006985650463345e-47
PF03463,8,8,-0.07558284281976055,6.071502148577089e-75
PF03463,8,9,-0.025450562034826082,7.278986917174018e-10
PF03463,8,10,-0.05138511869680863,1.5236742910492083e-35
PF03463,8,11,-0.06477394911654578,1.730832942154236e-55
PF03463,9,0,-0.03157527563360236,2.1228532969666374e-14
PF03463,9,1,0.009487229626218409,0.021680900410775864
PF03463,9,2,-0.0809864875895948,8.477218323139811e-86
PF03463,9,3,-0.02833751901670693,6.9387688737215416e-12
PF03463,9,4,-0.017854351624805292,1.553199693337163e-05
PF03463,9,5,-0.03736485971253519,1.4930745650405544e-19
PF03463,9,6,-0.03364760339961134,3.79745131533993e-16
PF03463,9,7,-0.008640338460396087,0.03653198121155562
PF03463,9,8,-0.0488995259625776,2.4096639715676703e-32
PF03463,9,9,-0.07705831309088135,7.837387672465684e-78
PF03463,9,10,-0.04705401354837819,4.523948247783277e-30
PF03463,9,11,-0.031026153449029134,5.913788691813647e-14
PF03463,10,0,0.0014801466152815981,0.7202026032538724
PF03463,10,1,-0.04266230554633303,5.223147988189524e-25
PF03463,10,2,-0.014210906762552994,0.000583566059206509
PF03463,10,3,-0.02183683482482596,1.2568322515510872e-07
PF03463,10,4,-0.007250686918121015,0.07931887778792694
PF03463,10,5,-0.03649372800634326,1.0078452967507474e-18
PF03463,10,6,-0.012523471417352952,0.0024395987851711346
PF03463,10,7,-0.012225929421037738,0.0030891730679544565
PF03463,10,8,-0.04934417353115257,6.625622127606839e-33
PF03463,10,9,-0.007108045798280164,0.08540843284550702
PF03463,10,10,-0.03992631596998257,4.2124876884454924e-22
PF03463,10,11,-0.04127420318413097,1.645457230115312e-23
PF03463,11,0,-0.04579692950628704,1.4275860240123842e-28
PF03463,11,1,-0.01784349382000181,1.5718070585403863e-05
PF03463,11,2,-0.052528555748596856,4.554002101627025e-37
PF03463,11,3,-0.013688332147410026,0.0009241296631131073
PF03463,11,4,-0.03779773700609137,5.68668602230051e-20
PF03463,11,5,-0.01938383893475578,2.71567994365243e-06
PF03463,11,6,-0.013538658577005175,0.001051262877431214
PF03463,11,7,-0.016574425151507845,6.041070726358679e-05
PF03463,11,8,-0.034023431479105734,1.7824411600370699e-16
PF03463,11,9,-0.03694675788046209,3.754071169486722e-19
PF03463,11,10,-0.030411246415099513,1.8244600121078732e-13
PF03463,11,11,-0.03597084062792045,3.1044375409504764e-18
