Protein family,Layer,Head,Correlation,P-value
PF10576,0,0,-0.17005694485429254,0.0
PF10576,0,1,-0.2701723580388411,0.0
PF10576,0,2,-0.23511638940516116,0.0
PF10576,0,3,-0.2423868902943535,0.0
PF10576,0,4,-0.11075467985656205,0.0
PF10576,0,5,-0.14563062920638012,0.0
PF10576,0,6,-0.21006409982147553,0.0
PF10576,0,7,-0.30074728773826076,0.0
PF10576,0,8,-0.2912239936550028,0.0
PF10576,0,9,-0.10988311369785408,0.0
PF10576,0,10,-0.13281469168243412,0.0
PF10576,0,11,-0.3077672225732611,0.0
PF10576,1,0,-0.07508954743825133,5.764531081411358e-191
PF10576,1,1,-0.27497922727418855,0.0
PF10576,1,2,-0.10571468385473404,0.0
PF10576,1,3,-0.15710324579123394,0.0
PF10576,1,4,-0.1348508164851071,0.0
PF10576,1,5,-0.2121023626314107,0.0
PF10576,1,6,-0.10523942449878437,0.0
PF10576,1,7,-0.12265665178416746,0.0
PF10576,1,8,-0.22939008693609347,0.0
PF10576,1,9,-0.1076113425316032,0.0
PF10576,1,10,-0.11862244654551958,0.0
PF10576,1,11,-0.29869998287289573,0.0
PF10576,2,0,-0.2629421236386444,0.0
PF10576,2,1,-0.31022932041807066,0.0
PF10576,2,2,-0.1722325926097854,0.0
PF10576,2,3,-0.3150568310746901,0.0
PF10576,2,4,-0.20329718342979528,0.0
PF10576,2,5,-0.1821060536266922,0.0
PF10576,2,6,-0.2634402311363104,0.0
PF10576,2,7,-0.2901807187933052,0.0
PF10576,2,8,-0.28409117318370436,0.0
PF10576,2,9,-0.3018627999064333,0.0
PF10576,2,10,-0.2760726814441516,0.0
PF10576,2,11,-0.21610720099742764,0.0
PF10576,3,0,-0.24698499303302227,0.0
PF10576,3,1,0.0921032955619233,1.2062500256701716e-286
PF10576,3,2,-0.1726273867059027,0.0
PF10576,3,3,-0.12630233294779936,0.0
PF10576,3,4,-0.2807055219222081,0.0
PF10576,3,5,-0.29584688764261324,0.0
PF10576,3,6,-0.2921526484588464,0.0
PF10576,3,7,-0.19824824572633581,0.0
PF10576,3,8,0.14023081778427177,0.0
PF10576,3,9,-0.18570566622206125,0.0
PF10576,3,10,-0.2501059174316207,0.0
PF10576,3,11,-0.1535951080868818,0.0
PF10576,4,0,-0.23690128910184485,0.0
PF10576,4,1,-0.0027733329245102903,0.27697505150903434
PF10576,4,2,-0.3269537945411373,0.0
PF10576,4,3,-0.3020527309983858,0.0
PF10576,4,4,-0.2045449636694497,0.0
PF10576,4,5,-0.2683685707303293,0.0
PF10576,4,6,-0.29683523646879195,0.0
PF10576,4,7,-0.20937951382828526,0.0
PF10576,4,8,-0.1503336712812725,0.0
PF10576,4,9,-0.2906160395249241,0.0
PF10576,4,10,-0.25833031445097193,0.0
PF10576,4,11,-0.19236933481156693,0.0
PF10576,5,0,-0.14370834439118782,0.0
PF10576,5,1,-0.23473761653141068,0.0
PF10576,5,2,-0.28807244331859827,0.0
PF10576,5,3,-0.22659498550669235,0.0
PF10576,5,4,-0.19613770415191306,0.0
PF10576,5,5,-0.09314811304101459,3.6499545751385943e-293
PF10576,5,6,-0.22535981018845963,0.0
PF10576,5,7,-0.23264406430681647,0.0
PF10576,5,8,-0.24300232504630215,0.0
PF10576,5,9,-0.24523150034065236,0.0
PF10576,5,10,-0.2880961614782386,0.0
PF10576,5,11,-0.0024798109890115314,0.3310110024840922
PF10576,6,0,-0.25517095924606137,0.0
PF10576,6,1,-0.23073448148690706,0.0
PF10576,6,2,-0.1859244348773722,0.0
PF10576,6,3,-0.08802524706954272,6.491199810916585e-262
PF10576,6,4,-0.17790678710291952,0.0
PF10576,6,5,-0.10850761058189991,0.0
PF10576,6,6,-0.10660983121486815,0.0
PF10576,6,7,-0.25304445823525207,0.0
PF10576,6,8,-0.18869895388624186,0.0
PF10576,6,9,-0.22923952961555155,0.0
PF10576,6,10,-0.17148193159513742,0.0
PF10576,6,11,-0.006607305690522195,0.00959561304811333
PF10576,7,0,-0.26111898662466493,0.0
PF10576,7,1,-0.20628086403524823,0.0
PF10576,7,2,-0.16738988964216223,0.0
PF10576,7,3,-0.24073787366800883,0.0
PF10576,7,4,-0.20152342050124944,0.0
PF10576,7,5,-0.21422516606397143,0.0
PF10576,7,6,-0.019695499681527468,1.1512933777889635e-14
PF10576,7,7,-0.18618031557034165,0.0
PF10576,7,8,-0.25544702408189646,0.0
PF10576,7,9,-0.21295128133879385,0.0
PF10576,7,10,-0.15701760786976354,0.0
PF10576,7,11,0.11418682471548611,0.0
PF10576,8,0,-0.13017738040519633,0.0
PF10576,8,1,-0.21069455056643677,0.0
PF10576,8,2,-0.07194416879160223,1.9714628850718407e-175
PF10576,8,3,-0.20624307189653665,0.0
PF10576,8,4,-0.0726282571768261,9.404151351429792e-179
PF10576,8,5,-0.23378201218743963,0.0
PF10576,8,6,-0.012435395080241364,1.0890567928098641e-06
PF10576,8,7,-0.2351020112883782,0.0
PF10576,8,8,-0.08982304174034145,1.1215993693047397e-272
PF10576,8,9,-0.19299494788383,0.0
PF10576,8,10,-0.21971525575032108,0.0
PF10576,8,11,-0.2642108113342365,0.0
PF10576,9,0,-0.17841951519080101,0.0
PF10576,9,1,-0.14135161104343308,0.0
PF10576,9,2,-0.2280711984017981,0.0
PF10576,9,3,-0.10543931003633077,0.0
PF10576,9,4,-0.2014280576023822,0.0
PF10576,9,5,-0.15249529898234113,0.0
PF10576,9,6,-0.11150934056594783,0.0
PF10576,9,7,-0.09393669530805525,3.91239150026497e-298
PF10576,9,8,-0.11342446889606617,0.0
PF10576,9,9,-0.004857643882577198,0.056885164340761275
PF10576,9,10,-0.1256145457271017,0.0
PF10576,9,11,-0.14811721705685724,0.0
PF10576,10,0,-0.26109587364200554,0.0
PF10576,10,1,-0.11476903295493465,0.0
PF10576,10,2,-0.08935734892627231,7.2258141154967e-270
PF10576,10,3,-0.12346775177993985,0.0
PF10576,10,4,-0.1664215456831068,0.0
PF10576,10,5,-0.19083093926908348,0.0
PF10576,10,6,-0.1503872025566808,0.0
PF10576,10,7,-0.04618856923830833,2.407416449502034e-73
PF10576,10,8,-0.1528294852663088,0.0
PF10576,10,9,-0.09777802533868443,0.0
