Protein family,Layer,Correlation,P value
PF13466,0,0.34204321260398163,8.01347195917905e-81
PF13466,1,0.37656589815409375,6.760778369194236e-99
PF13466,2,0.39974246118624635,2.495461787797269e-112
PF13466,3,0.34177001181836797,1.0915070836124215e-80
PF13466,4,0.31110831405068357,1.8225964679072374e-66
PF13466,5,0.29719726183139006,1.5177296461711888e-60
PF13466,6,0.26717665734480694,7.562466188474527e-49
PF13466,7,0.265673501669141,2.6707538878981638e-48
PF13466,8,0.2895421990205166,2.0055196089713954e-57
PF13466,9,0.3693341083438476,6.355916173713249e-95
PF13466,10,0.40116458988541664,3.445457399109102e-113
PF13466,11,0.4426351303564632,3.4626963854490624e-140
