Protein family,Layer,Correlation,P value
PF00168,0,0.2874611486566828,0.0
PF00168,1,0.23406064817009922,0.0
PF00168,2,0.1918384230080758,0.0
PF00168,3,0.14819027355622055,0.0
PF00168,4,0.07389365904763932,3.0397634051020414e-81
PF00168,5,0.054621185778696076,3.663993540060604e-45
PF00168,6,0.03593060092171314,1.8112686712714028e-20
PF00168,7,0.04048259676655277,1.487091302049298e-25
PF00168,8,0.03709100173740318,1.0425802052787498e-21
PF00168,9,0.038718512458664776,1.6366200468658095e-23
PF00168,10,0.03512105056145255,1.259175325634265e-19
PF00168,11,0.030264418141617365,5.725060769041696e-15
