Protein family,Layer,Correlation,P value
PF00168,0,0.2724936958062045,0.0
PF00168,1,0.21111482176500396,0.0
PF00168,2,0.17401792898905233,0.0
PF00168,3,0.14810345108562312,0.0
PF00168,4,0.12706566411952155,1.305293122068981e-237
PF00168,5,0.06818419797456066,2.003717080875217e-69
PF00168,6,0.005668458036494495,0.14361890652662365
PF00168,7,0.009905015423530643,0.010603271921624254
PF00168,8,0.0023722255999238427,0.5405221617113074
PF00168,9,0.03592337920749452,1.8432240379131836e-20
PF00168,10,0.05359839163656574,1.5018048733141293e-43
PF00168,11,0.0766743556618587,2.403365063994932e-87
