Protein family,Layer,Head,Correlation,P-value
PF06427,0,0,-0.18872002671858798,1.8122286899802802e-191
PF06427,0,1,-0.19834429688936278,1.1150901135806508e-211
PF06427,0,2,-0.2868569072082229,0.0
PF06427,0,3,-0.1137191839124023,5.675488071603182e-70
PF06427,0,4,0.7134656228680375,0.0
PF06427,0,5,-0.308497365964749,0.0
PF06427,0,6,0.11320520677931493,2.356769684158702e-69
PF06427,0,7,-0.2773404768137985,0.0
PF06427,0,8,-0.27423807640209,0.0
PF06427,0,9,-0.39619950339952764,0.0
PF06427,0,10,-0.1500527757140731,5.465423470929517e-121
PF06427,0,11,-0.21092018094137463,9.93749265494621e-240
PF06427,1,0,-0.5411050860062199,0.0
PF06427,1,1,0.229701089778313,3.850418386899016e-285
PF06427,1,2,-0.3650473172614433,0.0
PF06427,1,3,-0.4334824098173707,0.0
PF06427,1,4,-0.5226941681002188,0.0
PF06427,1,5,-0.2623434987192,0.0
PF06427,1,6,-0.49937353920216354,0.0
PF06427,1,7,-0.4535191136063259,0.0
PF06427,1,8,-0.46486584837415545,0.0
PF06427,1,9,-0.5892642883274283,0.0
PF06427,1,10,-0.09216957473770701,1.7379278978372642e-46
PF06427,1,11,-0.3134137242455903,0.0
PF06427,2,0,-0.21331682022148524,2.7454533573058286e-245
PF06427,2,1,-0.38468497087426107,0.0
PF06427,2,2,-0.47749371219587344,0.0
PF06427,2,3,-0.2632032566515369,0.0
PF06427,2,4,-0.12682956322904465,1.0312880288071501e-86
PF06427,2,5,0.3183102537708245,0.0
PF06427,2,6,-0.34181529353496737,0.0
PF06427,2,7,-0.4770935641618832,0.0
PF06427,2,8,-0.42849085425172145,0.0
PF06427,2,9,-0.04928607234622115,2.1124925568068708e-14
PF06427,2,10,-0.4328081066195292,0.0
PF06427,2,11,-0.6386128993929867,0.0
PF06427,3,0,-0.43065472671312444,0.0
PF06427,3,1,-0.40565605026634655,0.0
PF06427,3,2,-0.2357653077009971,1.0143216800886315e-300
PF06427,3,3,0.08889062913083955,2.3888576252037023e-43
PF06427,3,4,-0.39842285507364006,0.0
PF06427,3,5,-0.4340775147233364,0.0
PF06427,3,6,-0.34224281115203087,0.0
PF06427,3,7,-0.45821577415402226,0.0
PF06427,3,8,0.22399845367642898,6.68967382172838e-271
PF06427,3,9,-0.49116044231759076,0.0
PF06427,3,10,-0.4771493506576119,0.0
PF06427,3,11,-0.36014204054479976,0.0
PF06427,4,0,-0.3151813424534894,0.0
PF06427,4,1,0.11278997190440873,7.408986236201475e-69
PF06427,4,2,-0.388347074815067,0.0
PF06427,4,3,-0.42890594842143326,0.0
PF06427,4,4,-0.3940852979565352,0.0
PF06427,4,5,-0.38959056576624024,0.0
