FileName,RFScore,CI
dnapol_rep1_default1,0.637931034,0.774435346
dnapol_rep10_default1,0.75862069,0.856260215
dnapol_rep11_default1,0.655172414,0.781196003
dnapol_rep12_default1,0.689655172,0.783414841
dnapol_rep13_default1,0.637931034,0.778462004
dnapol_rep14_default1,0.655172414,0.78474579
dnapol_rep15_default1,0.655172414,0.789405386
dnapol_rep16_default1,0.655172414,0.770643244
dnapol_rep17_default1,0.724137931,0.810763201
dnapol_rep18_default1,0.620689655,0.770670387
dnapol_rep19_default1,0.637931034,0.770514059
dnapol_rep2_default1,0.655172414,0.781568208
dnapol_rep20_default1,0.637931034,0.774441364
dnapol_rep21_default1,0.655172414,0.808450122
dnapol_rep22_default1,0.655172414,0.781508088
dnapol_rep23_default1,0.620689655,0.761369052
dnapol_rep24_default1,0.637931034,0.769709439
dnapol_rep25_default1,0.655172414,0.75497816
dnapol_rep26_default1,0.672413793,0.787069701
dnapol_rep27_default1,0.637931034,0.76855722
dnapol_rep28_default1,0.637931034,0.799640432
dnapol_rep29_default1,0.620689655,0.792866465
dnapol_rep3_default1,0.689655172,0.79093398
dnapol_rep30_default1,0.672413793,0.792951323
dnapol_rep31_default1,0.603448276,0.753532251
dnapol_rep32_default1,0.637931034,0.773370501
dnapol_rep33_default1,0.620689655,0.760022051
dnapol_rep34_default1,0.603448276,0.725220659
dnapol_rep35_default1,0.637931034,0.771798109
dnapol_rep36_default1,0.655172414,0.766737683
dnapol_rep37_default1,0.603448276,0.740741283
dnapol_rep38_default1,0.620689655,0.76551996
dnapol_rep39_default1,0.603448276,0.744984185
dnapol_rep4_default1,0.655172414,0.779632354
dnapol_rep40_default1,0.620689655,0.758517904
dnapol_rep41_default1,0.603448276,0.752522449
dnapol_rep42_default1,0.620689655,0.778111474
dnapol_rep43_default1,0.655172414,0.802358244
dnapol_rep44_default1,0.637931034,0.77022538
dnapol_rep45_default1,0.655172414,0.787060501
dnapol_rep46_default1,0.637931034,0.768193449
dnapol_rep47_default1,0.672413793,0.811094667
dnapol_rep48_default1,0.637931034,0.781180079
dnapol_rep49_default1,0.586206897,0.761059532
dnapol_rep5_default1,0.672413793,0.786374528
dnapol_rep50_default1,0.603448276,0.757324933
dnapol_rep6_default1,0.568965517,0.751959294
dnapol_rep7_default1,0.655172414,0.789610619
dnapol_rep8_default1,0.586206897,0.739133457
dnapol_rep9_default1,0.637931034,0.757126542
,0.64137931,0.775359322
