FileName,RFScore,CI
dnapol_rep1_default1,0.655172414,0.770770916
dnapol_rep10_default1,0.75862069,0.845820843
dnapol_rep11_default1,0.672413793,0.788617488
dnapol_rep12_default1,0.706896552,0.785319464
dnapol_rep13_default1,0.672413793,0.777039837
dnapol_rep14_default1,0.672413793,0.775186067
dnapol_rep15_default1,0.672413793,0.777145996
dnapol_rep16_default1,0.689655172,0.785047527
dnapol_rep17_default1,0.74137931,0.799941286
dnapol_rep18_default1,0.655172414,0.753595486
dnapol_rep19_default1,0.655172414,0.770306165
dnapol_rep2_default1,0.689655172,0.771302192
dnapol_rep20_default1,0.655172414,0.773041451
dnapol_rep21_default1,0.689655172,0.7780614
dnapol_rep22_default1,0.672413793,0.756908891
dnapol_rep23_default1,0.655172414,0.775762873
dnapol_rep24_default1,0.655172414,0.768782938
dnapol_rep25_default1,0.672413793,0.751631362
dnapol_rep26_default1,0.689655172,0.764860101
dnapol_rep27_default1,0.655172414,0.775446092
dnapol_rep28_default1,0.655172414,0.773502729
dnapol_rep29_default1,0.655172414,0.762148612
dnapol_rep3_default1,0.706896552,0.766045974
dnapol_rep30_default1,0.689655172,0.765682766
dnapol_rep31_default1,0.620689655,0.750449576
dnapol_rep32_default1,0.655172414,0.770949419
dnapol_rep33_default1,0.655172414,0.762641443
dnapol_rep34_default1,0.620689655,0.719071253
dnapol_rep35_default1,0.655172414,0.754278526
dnapol_rep36_default1,0.672413793,0.772828353
dnapol_rep37_default1,0.637931034,0.745728177
dnapol_rep38_default1,0.637931034,0.753326395
dnapol_rep39_default1,0.586206897,0.702072159
dnapol_rep4_default1,0.672413793,0.775186067
dnapol_rep40_default1,0.655172414,0.753570798
dnapol_rep41_default1,0.637931034,0.757726638
dnapol_rep42_default1,0.637931034,0.749301375
dnapol_rep43_default1,0.672413793,0.758058694
dnapol_rep44_default1,0.672413793,0.775351751
dnapol_rep45_default1,0.689655172,0.789059695
dnapol_rep46_default1,0.655172414,0.760498273
dnapol_rep47_default1,0.706896552,0.782064889
dnapol_rep48_default1,0.672413793,0.775685523
dnapol_rep49_default1,0.620689655,0.745141321
dnapol_rep5_default1,0.689655172,0.769586919
dnapol_rep50_default1,0.637931034,0.750370184
dnapol_rep6_default1,0.603448276,0.733181445
dnapol_rep7_default1,0.672413793,0.777694412
dnapol_rep8_default1,0.620689655,0.738928045
dnapol_rep9_default1,0.655172414,0.757239333
,0.664137931,0.765839182
