FileName,RFScore,CI
dnapol_rep1,0.689655172,0.788918137
dnapol_rep10,0.74137931,0.779735665
dnapol_rep11,0.724137931,0.806713046
dnapol_rep12,0.689655172,0.764249152
dnapol_rep13,0.775862069,0.835828859
dnapol_rep14,0.74137931,0.795131136
dnapol_rep15,0.775862069,0.852685358
dnapol_rep16,0.74137931,0.827984968
dnapol_rep17,0.775862069,0.812477229
dnapol_rep18,0.75862069,0.821446222
dnapol_rep19,0.74137931,0.803782921
dnapol_rep2,0.75862069,0.799530035
dnapol_rep20,0.655172414,0.704035177
dnapol_rep21,0.706896552,0.793502701
dnapol_rep22,0.74137931,0.829817369
dnapol_rep23,0.706896552,0.798034233
dnapol_rep24,0.689655172,0.767213915
dnapol_rep25,0.706896552,0.746404395
dnapol_rep26,0.74137931,0.826206408
dnapol_rep27,0.775862069,0.850352621
dnapol_rep28,0.706896552,0.78437649
dnapol_rep29,0.74137931,0.805289156
dnapol_rep3,0.810344828,0.85977056
dnapol_rep30,0.672413793,0.744101713
dnapol_rep31,0.724137931,0.791574371
dnapol_rep32,0.706896552,0.801463227
dnapol_rep33,0.724137931,0.807555408
dnapol_rep34,0.775862069,0.840497625
dnapol_rep35,0.793103448,0.873407452
dnapol_rep36,0.672413793,0.787271415
dnapol_rep37,0.724137931,0.839751041
dnapol_rep38,0.724137931,0.804187055
dnapol_rep39,0.724137931,0.80854813
dnapol_rep4,0.689655172,0.763610151
dnapol_rep40,0.724137931,0.814667632
dnapol_rep41,0.75862069,0.85032695
dnapol_rep42,0.74137931,0.795013532
dnapol_rep43,0.724137931,0.780100854
dnapol_rep44,0.74137931,0.830215279
dnapol_rep45,0.793103448,0.848682365
dnapol_rep46,0.75862069,0.840514681
dnapol_rep47,0.724137931,0.846383429
dnapol_rep48,0.74137931,0.794409196
dnapol_rep49,0.74137931,0.828488943
dnapol_rep5,0.724137931,0.821477791
dnapol_rep50,0.793103448,0.856190004
dnapol_rep6,0.793103448,0.868385051
dnapol_rep7,0.775862069,0.8473435
dnapol_rep8,0.603448276,0.747880029
dnapol_rep9,0.724137931,0.789522309
,0.733793103,0.809501098
