FileName,RFScore,CI
dnapol_rep1,0.75862069,0.827603343
dnapol_rep10,0.75862069,0.796733755
dnapol_rep11,0.75862069,0.804279733
dnapol_rep12,0.706896552,0.750691427
dnapol_rep13,0.775862069,0.809895755
dnapol_rep14,0.74137931,0.78285826
dnapol_rep15,0.827586207,0.868066745
dnapol_rep16,0.793103448,0.842585468
dnapol_rep17,0.793103448,0.823516559
dnapol_rep18,0.793103448,0.863187035
dnapol_rep19,0.75862069,0.804358286
dnapol_rep2,0.775862069,0.793836883
dnapol_rep20,0.724137931,0.750842108
dnapol_rep21,0.74137931,0.794802028
dnapol_rep22,0.724137931,0.777338084
dnapol_rep23,0.689655172,0.769099784
dnapol_rep24,0.75862069,0.793817826
dnapol_rep25,0.74137931,0.782028807
dnapol_rep26,0.775862069,0.793532463
dnapol_rep27,0.810344828,0.876713835
dnapol_rep28,0.810344828,0.824185833
dnapol_rep29,0.793103448,0.820343474
dnapol_rep3,0.862068966,0.88919068
dnapol_rep30,0.75862069,0.750701593
dnapol_rep31,0.775862069,0.789617221
dnapol_rep32,0.75862069,0.794684549
dnapol_rep33,0.793103448,0.845744508
dnapol_rep34,0.775862069,0.822447965
dnapol_rep35,0.844827586,0.867067231
dnapol_rep36,0.724137931,0.780191929
dnapol_rep37,0.775862069,0.821292975
dnapol_rep38,0.75862069,0.796427102
dnapol_rep39,0.793103448,0.840694818
dnapol_rep4,0.74137931,0.775858827
dnapol_rep40,0.793103448,0.841857321
dnapol_rep41,0.827586207,0.863020503
dnapol_rep42,0.724137931,0.774473379
dnapol_rep43,0.827586207,0.837654315
dnapol_rep44,0.775862069,0.831774029
dnapol_rep45,0.775862069,0.806944478
dnapol_rep46,0.74137931,0.795820563
dnapol_rep47,0.793103448,0.845446099
dnapol_rep48,0.793103448,0.848531338
dnapol_rep49,0.844827586,0.861941787
dnapol_rep5,0.74137931,0.812713966
dnapol_rep50,0.879310345,0.893582678
dnapol_rep6,0.810344828,0.842924852
dnapol_rep7,0.844827586,0.869790055
dnapol_rep8,0.672413793,0.73026652
dnapol_rep9,0.844827586,0.863379375
,0.777241379,0.816887163
