FileName,RFScore,CI
mcp_rep1_default2,0.75,0.834106933
mcp_rep10_default2,0.696428571,0.796252639
mcp_rep11_default2,0.785714286,0.839248816
mcp_rep12_default2,0.803571429,0.851802653
mcp_rep13_default2,0.696428571,0.802595364
mcp_rep14_default2,0.767857143,0.819842267
mcp_rep15_default2,0.821428571,0.862040225
mcp_rep16_default2,0.785714286,0.848705106
mcp_rep17_default2,0.785714286,0.831863764
mcp_rep18_default2,0.785714286,0.829121446
mcp_rep19_default2,0.803571429,0.854769468
mcp_rep2_default2,0.803571429,0.863151957
mcp_rep20_default2,0.785714286,0.838344458
mcp_rep21_default2,0.785714286,0.84008933
mcp_rep22_default2,0.821428571,0.862096349
mcp_rep23_default2,0.75,0.820079889
mcp_rep24_default2,0.785714286,0.831770854
mcp_rep25_default2,0.767857143,0.823240381
mcp_rep26_default2,0.732142857,0.814808607
mcp_rep27_default2,0.732142857,0.807247984
mcp_rep28_default2,0.732142857,0.794687106
mcp_rep29_default2,0.75,0.801521082
mcp_rep3_default2,0.767857143,0.836289485
mcp_rep30_default2,0.803571429,0.854156198
mcp_rep31_default2,0.821428571,0.868574843
mcp_rep32_default2,0.696428571,0.802229769
mcp_rep33_default2,0.785714286,0.832304628
mcp_rep34_default2,0.767857143,0.829348763
mcp_rep35_default2,0.732142857,0.831151332
mcp_rep36_default2,0.767857143,0.821276561
mcp_rep37_default2,0.767857143,0.827311821
mcp_rep38_default2,0.714285714,0.813006193
mcp_rep39_default2,0.785714286,0.816079536
mcp_rep4_default2,0.803571429,0.852251252
mcp_rep40_default2,0.660714286,0.80138374
mcp_rep41_default2,0.767857143,0.827311821
mcp_rep42_default2,0.75,0.823014881
mcp_rep43_default2,0.803571429,0.858213433
mcp_rep44_default2,0.803571429,0.84282791
mcp_rep45_default2,0.75,0.830200969
mcp_rep46_default2,0.803571429,0.84282791
mcp_rep47_default2,0.678571429,0.801937793
mcp_rep48_default2,0.767857143,0.844197244
mcp_rep49_default2,0.821428571,0.849962318
mcp_rep5_default2,0.767857143,0.845087033
mcp_rep50_default2,0.767857143,0.827311821
mcp_rep6_default2,0.75,0.822352756
mcp_rep7_default2,0.803571429,0.860504598
mcp_rep8_default2,0.767857143,0.827311821
mcp_rep9_default2,0.839285714,0.890796503
,0.768928571,0.832932192
