FileName,RFScore,CI
mcp_rep1_default2,0.714285714,0.813931477
mcp_rep10_default2,0.696428571,0.80589219
mcp_rep11_default2,0.696428571,0.803304312
mcp_rep12_default2,0.732142857,0.812532293
mcp_rep13_default2,0.732142857,0.82371818
mcp_rep14_default2,0.714285714,0.813669381
mcp_rep15_default2,0.732142857,0.82298898
mcp_rep16_default2,0.714285714,0.804322891
mcp_rep17_default2,0.75,0.835676635
mcp_rep18_default2,0.767857143,0.836229459
mcp_rep19_default2,0.732142857,0.821149039
mcp_rep2_default2,0.732142857,0.815115668
mcp_rep20_default2,0.732142857,0.813706669
mcp_rep21_default2,0.714285714,0.816527926
mcp_rep22_default2,0.732142857,0.818266047
mcp_rep23_default2,0.714285714,0.817978623
mcp_rep24_default2,0.75,0.825812283
mcp_rep25_default2,0.75,0.829421391
mcp_rep26_default2,0.714285714,0.810438617
mcp_rep27_default2,0.714285714,0.837735974
mcp_rep28_default2,0.767857143,0.845028132
mcp_rep29_default2,0.75,0.825436498
mcp_rep3_default2,0.714285714,0.812149093
mcp_rep30_default2,0.75,0.826158144
mcp_rep31_default2,0.678571429,0.770235108
mcp_rep32_default2,0.678571429,0.808731069
mcp_rep33_default2,0.767857143,0.835180326
mcp_rep34_default2,0.75,0.824929336
mcp_rep35_default2,0.696428571,0.809449445
mcp_rep36_default2,0.785714286,0.841238074
mcp_rep37_default2,0.732142857,0.816892735
mcp_rep38_default2,0.714285714,0.829895834
mcp_rep39_default2,0.714285714,0.807473559
mcp_rep4_default2,0.714285714,0.798220161
mcp_rep40_default2,0.678571429,0.805669242
mcp_rep41_default2,0.732142857,0.816892735
mcp_rep42_default2,0.696428571,0.782529071
mcp_rep43_default2,0.696428571,0.782682479
mcp_rep44_default2,0.75,0.823556758
mcp_rep45_default2,0.696428571,0.804170005
mcp_rep46_default2,0.75,0.823556758
mcp_rep47_default2,0.678571429,0.80577496
mcp_rep48_default2,0.696428571,0.803662741
mcp_rep49_default2,0.732142857,0.813043787
mcp_rep5_default2,0.732142857,0.816060336
mcp_rep50_default2,0.732142857,0.816892735
mcp_rep6_default2,0.696428571,0.801090429
mcp_rep7_default2,0.732142857,0.806262399
mcp_rep8_default2,0.732142857,0.816892735
mcp_rep9_default2,0.696428571,0.77640417
,0.723571429,0.814491538
