FileName,RFScore,CI
mcp_rep1,0.660714286,0.74253084
mcp_rep10,0.607142857,0.714773458
mcp_rep11,0.642857143,0.740525743
mcp_rep12,0.678571429,0.751531544
mcp_rep13,0.678571429,0.718672721
mcp_rep14,0.607142857,0.693945157
mcp_rep15,0.642857143,0.734219612
mcp_rep16,0.714285714,0.791930939
mcp_rep17,0.678571429,0.734481603
mcp_rep18,0.678571429,0.730900224
mcp_rep19,0.660714286,0.724548984
mcp_rep2,0.660714286,0.731192363
mcp_rep20,0.589285714,0.712325153
mcp_rep21,0.696428571,0.726373448
mcp_rep22,0.607142857,0.720512181
mcp_rep23,0.714285714,0.755512717
mcp_rep24,0.714285714,0.773283394
mcp_rep25,0.732142857,0.786393409
mcp_rep26,0.571428571,0.685195252
mcp_rep27,0.714285714,0.790797766
mcp_rep28,0.696428571,0.774753447
mcp_rep29,0.696428571,0.767202273
mcp_rep3,0.696428571,0.792691925
mcp_rep30,0.678571429,0.759247436
mcp_rep31,0.678571429,0.748812228
mcp_rep32,0.803571429,0.825775291
mcp_rep33,0.660714286,0.720484868
mcp_rep34,0.75,0.77735162
mcp_rep35,0.642857143,0.720298496
mcp_rep36,0.660714286,0.750217361
mcp_rep37,0.642857143,0.701314919
mcp_rep38,0.767857143,0.805835903
mcp_rep39,0.678571429,0.773624221
mcp_rep4,0.625,0.747821618
mcp_rep40,0.660714286,0.78040359
mcp_rep41,0.642857143,0.718669366
mcp_rep42,0.642857143,0.753438438
mcp_rep43,0.714285714,0.782057752
mcp_rep44,0.625,0.676378835
mcp_rep45,0.732142857,0.77920131
mcp_rep46,0.767857143,0.807427864
mcp_rep47,0.696428571,0.759435276
mcp_rep48,0.75,0.787046744
mcp_rep49,0.660714286,0.756110622
mcp_rep5,0.714285714,0.7564023
mcp_rep50,0.696428571,0.775454462
mcp_rep6,0.660714286,0.741490791
mcp_rep7,0.714285714,0.789521545
mcp_rep8,0.696428571,0.771236093
mcp_rep9,0.696428571,0.780573986
,0.68,0.752798542
