FileName,RFScore,CI
mcp_rep1,0.821428571,0.839227798
mcp_rep10,0.696428571,0.739500716
mcp_rep11,0.803571429,0.845262585
mcp_rep12,0.803571429,0.83735212
mcp_rep13,0.767857143,0.821325164
mcp_rep14,0.785714286,0.831988679
mcp_rep15,0.75,0.823060551
mcp_rep16,0.785714286,0.833221112
mcp_rep17,0.75,0.796636576
mcp_rep18,0.803571429,0.826208172
mcp_rep19,0.714285714,0.779407014
mcp_rep2,0.785714286,0.854285286
mcp_rep20,0.678571429,0.762491556
mcp_rep21,0.839285714,0.816176119
mcp_rep22,0.785714286,0.821711066
mcp_rep23,0.892857143,0.910008612
mcp_rep24,0.803571429,0.830150858
mcp_rep25,0.803571429,0.856424139
mcp_rep26,0.696428571,0.77321544
mcp_rep27,0.839285714,0.877218016
mcp_rep28,0.839285714,0.873222397
mcp_rep29,0.892857143,0.905829759
mcp_rep3,0.803571429,0.844878221
mcp_rep30,0.803571429,0.857610714
mcp_rep31,0.767857143,0.815298647
mcp_rep32,0.625,0.758820493
mcp_rep33,0.767857143,0.825818909
mcp_rep34,0.785714286,0.847761628
mcp_rep35,0.839285714,0.841657079
mcp_rep36,0.75,0.807986139
mcp_rep37,0.785714286,0.824375907
mcp_rep38,0.785714286,0.836151479
mcp_rep39,0.785714286,0.837225896
mcp_rep4,0.803571429,0.84900425
mcp_rep40,0.767857143,0.83114013
mcp_rep41,0.785714286,0.820695414
mcp_rep42,0.642857143,0.777287552
mcp_rep43,0.785714286,0.851055718
mcp_rep44,0.767857143,0.773954756
mcp_rep45,0.839285714,0.867464684
mcp_rep46,0.839285714,0.87095279
mcp_rep47,0.75,0.774821585
mcp_rep48,0.785714286,0.822532915
mcp_rep49,0.678571429,0.793259352
mcp_rep5,0.732142857,0.824588575
mcp_rep50,0.803571429,0.857222079
mcp_rep6,0.803571429,0.862228865
mcp_rep7,0.857142857,0.913762472
mcp_rep8,0.821428571,0.864737443
mcp_rep9,0.767857143,0.839860799
,0.781428571,0.830921565
