FileName,RFScore,CI
pATPase_rep1_default2,0.854545455,0.848656706
pATPase_rep10_default2,0.890909091,0.891667824
pATPase_rep11_default2,0.872727273,0.838364329
pATPase_rep12_default2,0.872727273,0.849515015
pATPase_rep13_default2,0.872727273,0.838364329
pATPase_rep14_default2,0.763636364,0.75849279
pATPase_rep15_default2,0.836363636,0.818931855
pATPase_rep16_default2,0.781818182,0.768683516
pATPase_rep17_default2,0.763636364,0.751666061
pATPase_rep18_default2,0.8,0.799737027
pATPase_rep19_default2,0.818181818,0.823401758
pATPase_rep2_default2,0.8,0.757815236
pATPase_rep20_default2,0.854545455,0.842822483
pATPase_rep21_default2,0.781818182,0.746936001
pATPase_rep22_default2,0.8,0.753162979
pATPase_rep23_default2,0.8,0.821877104
pATPase_rep24_default2,0.836363636,0.815760586
pATPase_rep25_default2,0.781818182,0.810910985
pATPase_rep26_default2,0.818181818,0.788843541
pATPase_rep27_default2,0.763636364,0.789257352
pATPase_rep28_default2,0.854545455,0.836784723
pATPase_rep29_default2,0.8,0.811551642
pATPase_rep3_default2,0.945454545,0.944254448
pATPase_rep30_default2,0.836363636,0.830718159
pATPase_rep31_default2,0.854545455,0.865048594
pATPase_rep32_default2,0.854545455,0.830581021
pATPase_rep33_default2,0.818181818,0.824069153
pATPase_rep34_default2,0.745454545,0.741821463
pATPase_rep35_default2,0.909090909,0.902998041
pATPase_rep36_default2,0.854545455,0.82854978
pATPase_rep37_default2,0.781818182,0.78179258
pATPase_rep38_default2,0.745454545,0.767602413
pATPase_rep39_default2,0.836363636,0.81466101
pATPase_rep4_default2,0.872727273,0.855162752
pATPase_rep40_default2,0.872727273,0.845666926
pATPase_rep41_default2,0.781818182,0.785682451
pATPase_rep42_default2,0.8,0.769094338
pATPase_rep43_default2,0.872727273,0.874331667
pATPase_rep44_default2,0.763636364,0.774251462
pATPase_rep45_default2,0.854545455,0.815512676
pATPase_rep46_default2,0.836363636,0.816874756
pATPase_rep47_default2,0.854545455,0.828984778
pATPase_rep48_default2,0.836363636,0.821215829
pATPase_rep49_default2,0.872727273,0.873850247
pATPase_rep5_default2,0.836363636,0.808868254
pATPase_rep50_default2,0.854545455,0.831313449
pATPase_rep6_default2,0.890909091,0.862523417
pATPase_rep7_default2,0.8,0.788329915
pATPase_rep8_default2,0.818181818,0.795016982
pATPase_rep9_default2,0.836363636,0.82292667
,0.829090909,0.817298141
