FileName,RFScore,CI
pATPase_rep1_default2,0.745454545,0.761519766
pATPase_rep10_default2,0.763636364,0.7791951
pATPase_rep11_default2,0.781818182,0.80914603
pATPase_rep12_default2,0.763636364,0.7626275
pATPase_rep13_default2,0.781818182,0.80914603
pATPase_rep14_default2,0.672727273,0.716592554
pATPase_rep15_default2,0.727272727,0.766073003
pATPase_rep16_default2,0.709090909,0.765237427
pATPase_rep17_default2,0.690909091,0.747867388
pATPase_rep18_default2,0.690909091,0.787386746
pATPase_rep19_default2,0.727272727,0.793471603
pATPase_rep2_default2,0.727272727,0.780439002
pATPase_rep20_default2,0.763636364,0.792026451
pATPase_rep21_default2,0.690909091,0.717035657
pATPase_rep22_default2,0.727272727,0.785845534
pATPase_rep23_default2,0.709090909,0.755652602
pATPase_rep24_default2,0.745454545,0.773405668
pATPase_rep25_default2,0.709090909,0.740880934
pATPase_rep26_default2,0.727272727,0.767775391
pATPase_rep27_default2,0.672727273,0.733159529
pATPase_rep28_default2,0.745454545,0.778821312
pATPase_rep29_default2,0.727272727,0.770706639
pATPase_rep3_default2,0.781818182,0.775596787
pATPase_rep30_default2,0.727272727,0.755285744
pATPase_rep31_default2,0.745454545,0.779703761
pATPase_rep32_default2,0.763636364,0.814949211
pATPase_rep33_default2,0.727272727,0.763968037
pATPase_rep34_default2,0.654545455,0.70847083
pATPase_rep35_default2,0.781818182,0.82209161
pATPase_rep36_default2,0.745454545,0.834474888
pATPase_rep37_default2,0.690909091,0.772341251
pATPase_rep38_default2,0.636363636,0.710440407
pATPase_rep39_default2,0.727272727,0.763882886
pATPase_rep4_default2,0.8,0.841499055
pATPase_rep40_default2,0.763636364,0.781907322
pATPase_rep41_default2,0.672727273,0.730480648
pATPase_rep42_default2,0.727272727,0.754658637
pATPase_rep43_default2,0.727272727,0.766772009
pATPase_rep44_default2,0.654545455,0.696614695
pATPase_rep45_default2,0.781818182,0.819791196
pATPase_rep46_default2,0.745454545,0.747572599
pATPase_rep47_default2,0.745454545,0.771386296
pATPase_rep48_default2,0.727272727,0.760941988
pATPase_rep49_default2,0.727272727,0.741209793
pATPase_rep5_default2,0.745454545,0.800218961
pATPase_rep50_default2,0.763636364,0.803589064
pATPase_rep6_default2,0.8,0.824534523
pATPase_rep7_default2,0.727272727,0.785337772
pATPase_rep8_default2,0.727272727,0.742784551
pATPase_rep9_default2,0.727272727,0.748071763
,0.730909091,0.770251763
