FileName,RFScore,CI
pATPase_rep1,0.763636364,0.806542157
pATPase_rep10,0.672727273,0.713030816
pATPase_rep11,0.763636364,0.774701504
pATPase_rep12,0.690909091,0.731790569
pATPase_rep13,0.745454545,0.754879366
pATPase_rep14,0.6,0.691710143
pATPase_rep15,0.690909091,0.772601418
pATPase_rep16,0.6,0.674544353
pATPase_rep17,0.709090909,0.758333626
pATPase_rep18,0.690909091,0.717492085
pATPase_rep19,0.763636364,0.802713886
pATPase_rep2,0.690909091,0.695001461
pATPase_rep20,0.672727273,0.726572456
pATPase_rep21,0.672727273,0.735309129
pATPase_rep22,0.654545455,0.714776498
pATPase_rep23,0.727272727,0.773326311
pATPase_rep24,0.690909091,0.720995511
pATPase_rep25,0.781818182,0.853715098
pATPase_rep26,0.763636364,0.770106444
pATPase_rep27,0.654545455,0.723402597
pATPase_rep28,0.763636364,0.822896398
pATPase_rep29,0.709090909,0.739963849
pATPase_rep3,0.727272727,0.753802145
pATPase_rep30,0.672727273,0.702249125
pATPase_rep31,0.727272727,0.719523575
pATPase_rep32,0.727272727,0.745825899
pATPase_rep33,0.654545455,0.719284498
pATPase_rep34,0.763636364,0.787548843
pATPase_rep35,0.709090909,0.724954306
pATPase_rep36,0.654545455,0.743638194
pATPase_rep37,0.781818182,0.812392114
pATPase_rep38,0.709090909,0.747554706
pATPase_rep39,0.745454545,0.737750466
pATPase_rep4,0.745454545,0.757164683
pATPase_rep40,0.727272727,0.777109034
pATPase_rep41,0.727272727,0.739990693
pATPase_rep42,0.636363636,0.708920937
pATPase_rep43,0.727272727,0.742151236
pATPase_rep44,0.672727273,0.708594101
pATPase_rep45,0.6,0.664492513
pATPase_rep46,0.727272727,0.763702231
pATPase_rep47,0.672727273,0.709470645
pATPase_rep48,0.781818182,0.789988928
pATPase_rep49,0.618181818,0.689585183
pATPase_rep5,0.727272727,0.739764406
pATPase_rep50,0.727272727,0.736236413
pATPase_rep6,0.727272727,0.780698837
pATPase_rep7,0.6,0.623476724
pATPase_rep8,0.690909091,0.723965054
pATPase_rep9,0.727272727,0.746100161
,0.703636364,0.741406827
