FileName,RFScore,CI
pATPase_rep1,0.727272727,0.783382925
pATPase_rep10,0.690909091,0.768065872
pATPase_rep11,0.872727273,0.891540399
pATPase_rep12,0.727272727,0.804718786
pATPase_rep13,0.745454545,0.795291502
pATPase_rep14,0.6,0.710023122
pATPase_rep15,0.727272727,0.767822876
pATPase_rep16,0.6,0.723512849
pATPase_rep17,0.763636364,0.843512848
pATPase_rep18,0.709090909,0.741469981
pATPase_rep19,0.763636364,0.810891756
pATPase_rep2,0.690909091,0.752530676
pATPase_rep20,0.654545455,0.805917642
pATPase_rep21,0.672727273,0.764632335
pATPase_rep22,0.709090909,0.770376879
pATPase_rep23,0.727272727,0.811440303
pATPase_rep24,0.8,0.833704654
pATPase_rep25,0.781818182,0.764039519
pATPase_rep26,0.781818182,0.820074522
pATPase_rep27,0.745454545,0.825721191
pATPase_rep28,0.763636364,0.761122595
pATPase_rep29,0.745454545,0.804876208
pATPase_rep3,0.709090909,0.777750506
pATPase_rep30,0.654545455,0.724897879
pATPase_rep31,0.763636364,0.812603444
pATPase_rep32,0.763636364,0.832148928
pATPase_rep33,0.727272727,0.711203806
pATPase_rep34,0.763636364,0.787875683
pATPase_rep35,0.745454545,0.806886625
pATPase_rep36,0.672727273,0.759563382
pATPase_rep37,0.727272727,0.83089147
pATPase_rep38,0.709090909,0.805246228
pATPase_rep39,0.818181818,0.803739875
pATPase_rep4,0.745454545,0.819216548
pATPase_rep40,0.690909091,0.713396792
pATPase_rep41,0.8,0.845681215
pATPase_rep42,0.672727273,0.724795124
pATPase_rep43,0.745454545,0.812044172
pATPase_rep44,0.654545455,0.669129895
pATPase_rep45,0.6,0.666645406
pATPase_rep46,0.745454545,0.808758162
pATPase_rep47,0.745454545,0.743708308
pATPase_rep48,0.763636364,0.81592932
pATPase_rep49,0.654545455,0.74586969
pATPase_rep5,0.836363636,0.871470211
pATPase_rep50,0.763636364,0.790491226
pATPase_rep6,0.781818182,0.821076892
pATPase_rep7,0.636363636,0.707293109
pATPase_rep8,0.672727273,0.756195975
pATPase_rep9,0.8,0.810467062
,0.727272727,0.782592928
