FileName,RFScore,CI
primase_rep1_default2,0.793103448,0.853906895
primase_rep10_default2,0.75862069,0.774498587
primase_rep11_default2,0.74137931,0.781991861
primase_rep12_default2,0.74137931,0.774671716
primase_rep13_default2,0.793103448,0.843799765
primase_rep14_default2,0.775862069,0.842858507
primase_rep15_default2,0.775862069,0.83925253
primase_rep16_default2,0.810344828,0.851520077
primase_rep17_default2,0.75862069,0.796115042
primase_rep18_default2,0.793103448,0.858621663
primase_rep19_default2,0.793103448,0.840029317
primase_rep2_default2,0.775862069,0.841198157
primase_rep20_default2,0.775862069,0.841198157
primase_rep21_default2,0.689655172,0.73777832
primase_rep22_default2,0.775862069,0.83925253
primase_rep23_default2,0.75862069,0.80789201
primase_rep24_default2,0.75862069,0.800868255
primase_rep25_default2,0.75862069,0.796480579
primase_rep26_default2,0.775862069,0.816479186
primase_rep27_default2,0.827586207,0.869610419
primase_rep28_default2,0.827586207,0.869610419
primase_rep29_default2,0.793103448,0.84126804
primase_rep3_default2,0.775862069,0.842962593
primase_rep30_default2,0.724137931,0.813564251
primase_rep31_default2,0.75862069,0.829207214
primase_rep32_default2,0.793103448,0.847808517
primase_rep33_default2,0.793103448,0.862766263
primase_rep34_default2,0.75862069,0.824482778
primase_rep35_default2,0.810344828,0.863098693
primase_rep36_default2,0.827586207,0.867013372
primase_rep37_default2,0.74137931,0.753336219
primase_rep38_default2,0.75862069,0.832409515
primase_rep39_default2,0.793103448,0.87340431
primase_rep4_default2,0.75862069,0.789795528
primase_rep40_default2,0.844827586,0.893185142
primase_rep41_default2,0.793103448,0.84633584
primase_rep42_default2,0.810344828,0.858459521
primase_rep43_default2,0.793103448,0.85188752
primase_rep44_default2,0.75862069,0.813802096
primase_rep45_default2,0.793103448,0.840240597
primase_rep46_default2,0.74137931,0.753001997
primase_rep47_default2,0.775862069,0.822618566
primase_rep48_default2,0.775862069,0.824461892
primase_rep49_default2,0.793103448,0.845824531
primase_rep5_default2,0.793103448,0.850403428
primase_rep50_default2,0.810344828,0.858459521
primase_rep6_default2,0.775862069,0.824281534
primase_rep7_default2,0.810344828,0.863038418
primase_rep8_default2,0.775862069,0.835471137
primase_rep9_default2,0.775862069,0.8203128
,0.779310345,0.830410716
