FileName,RFScore,CI
primase_rep1_default2,0.724137931,0.778701014
primase_rep10_default2,0.724137931,0.719508684
primase_rep11_default2,0.706896552,0.721786964
primase_rep12_default2,0.74137931,0.735841819
primase_rep13_default2,0.75862069,0.777084319
primase_rep14_default2,0.74137931,0.793285675
primase_rep15_default2,0.74137931,0.786800021
primase_rep16_default2,0.75862069,0.78928531
primase_rep17_default2,0.706896552,0.721396332
primase_rep18_default2,0.706896552,0.797413342
primase_rep19_default2,0.75862069,0.81729636
primase_rep2_default2,0.74137931,0.791536875
primase_rep20_default2,0.74137931,0.791536875
primase_rep21_default2,0.706896552,0.704825884
primase_rep22_default2,0.74137931,0.786800021
primase_rep23_default2,0.74137931,0.766032278
primase_rep24_default2,0.74137931,0.768948949
primase_rep25_default2,0.724137931,0.759655884
primase_rep26_default2,0.74137931,0.749604078
primase_rep27_default2,0.74137931,0.78761117
primase_rep28_default2,0.74137931,0.78761117
primase_rep29_default2,0.775862069,0.846014023
primase_rep3_default2,0.74137931,0.815916009
primase_rep30_default2,0.689655172,0.752478251
primase_rep31_default2,0.74137931,0.782476962
primase_rep32_default2,0.75862069,0.798213357
primase_rep33_default2,0.74137931,0.786524844
primase_rep34_default2,0.74137931,0.787887753
primase_rep35_default2,0.75862069,0.78166912
primase_rep36_default2,0.793103448,0.826568489
primase_rep37_default2,0.74137931,0.720397673
primase_rep38_default2,0.689655172,0.750702724
primase_rep39_default2,0.724137931,0.767656117
primase_rep4_default2,0.724137931,0.728580286
primase_rep40_default2,0.775862069,0.820230801
primase_rep41_default2,0.724137931,0.803241021
primase_rep42_default2,0.74137931,0.780676741
primase_rep43_default2,0.724137931,0.774039387
primase_rep44_default2,0.74137931,0.808174448
primase_rep45_default2,0.75862069,0.822743233
primase_rep46_default2,0.74137931,0.719674841
primase_rep47_default2,0.724137931,0.743984182
primase_rep48_default2,0.724137931,0.747728799
primase_rep49_default2,0.75862069,0.793437375
primase_rep5_default2,0.74137931,0.793734451
primase_rep50_default2,0.74137931,0.780676741
primase_rep6_default2,0.75862069,0.814076619
primase_rep7_default2,0.724137931,0.780973816
primase_rep8_default2,0.74137931,0.813609756
primase_rep9_default2,0.75862069,0.809446841
,0.73862069,0.777681954
