FileName,RFScore,CI
primase_rep1,0.75862069,0.785180085
primase_rep10,0.724137931,0.786378838
primase_rep11,0.724137931,0.78097718
primase_rep12,0.74137931,0.756808256
primase_rep13,0.775862069,0.807679508
primase_rep14,0.724137931,0.794108113
primase_rep15,0.827586207,0.863362785
primase_rep16,0.844827586,0.869288552
primase_rep17,0.775862069,0.814414631
primase_rep18,0.775862069,0.827317877
primase_rep19,0.75862069,0.811063049
primase_rep2,0.74137931,0.803262894
primase_rep20,0.74137931,0.796029694
primase_rep21,0.74137931,0.786770275
primase_rep22,0.75862069,0.80949342
primase_rep23,0.775862069,0.779866938
primase_rep24,0.775862069,0.812528636
primase_rep25,0.793103448,0.81947594
primase_rep26,0.724137931,0.737864841
primase_rep27,0.793103448,0.833555298
primase_rep28,0.74137931,0.782739906
primase_rep29,0.75862069,0.797430012
primase_rep3,0.74137931,0.786510897
primase_rep30,0.810344828,0.821098574
primase_rep31,0.775862069,0.795437023
primase_rep32,0.793103448,0.815450084
primase_rep33,0.810344828,0.818135177
primase_rep34,0.75862069,0.820067472
primase_rep35,0.810344828,0.829434448
primase_rep36,0.827586207,0.857902758
primase_rep37,0.75862069,0.809969531
primase_rep38,0.879310345,0.882859592
primase_rep39,0.810344828,0.866944368
primase_rep4,0.75862069,0.791246315
primase_rep40,0.844827586,0.873548331
primase_rep41,0.75862069,0.763269852
primase_rep42,0.74137931,0.777693581
primase_rep43,0.74137931,0.785067353
primase_rep44,0.810344828,0.839501742
primase_rep45,0.75862069,0.804883475
primase_rep46,0.793103448,0.791957424
primase_rep47,0.844827586,0.844951711
primase_rep48,0.827586207,0.838088056
primase_rep49,0.74137931,0.759471972
primase_rep5,0.724137931,0.774775441
primase_rep50,0.775862069,0.824520805
primase_rep6,0.775862069,0.807873639
primase_rep7,0.75862069,0.81951013
primase_rep8,0.724137931,0.788859821
primase_rep9,0.724137931,0.750894847
,0.773103448,0.807910423
