FileName,RFScore,CI
primase_rep1,0.827586207,0.866595661
primase_rep10,0.74137931,0.819479722
primase_rep11,0.793103448,0.82211095
primase_rep12,0.810344828,0.84054835
primase_rep13,0.810344828,0.883196251
primase_rep14,0.793103448,0.828665781
primase_rep15,0.879310345,0.900383821
primase_rep16,0.827586207,0.824978704
primase_rep17,0.775862069,0.848844327
primase_rep18,0.775862069,0.838931453
primase_rep19,0.810344828,0.838776545
primase_rep2,0.827586207,0.862830096
primase_rep20,0.793103448,0.840826961
primase_rep21,0.810344828,0.875119788
primase_rep22,0.775862069,0.834652338
primase_rep23,0.862068966,0.887316428
primase_rep24,0.827586207,0.834136804
primase_rep25,0.827586207,0.837445012
primase_rep26,0.793103448,0.802668618
primase_rep27,0.844827586,0.889907627
primase_rep28,0.775862069,0.831609083
primase_rep29,0.879310345,0.900583645
primase_rep3,0.810344828,0.82892746
primase_rep30,0.862068966,0.888777389
primase_rep31,0.810344828,0.848516848
primase_rep32,0.827586207,0.860347106
primase_rep33,0.793103448,0.859094704
primase_rep34,0.827586207,0.873629583
primase_rep35,0.862068966,0.846703362
primase_rep36,0.844827586,0.85675088
primase_rep37,0.879310345,0.901385951
primase_rep38,0.896551724,0.908648787
primase_rep39,0.827586207,0.859487322
primase_rep4,0.810344828,0.86475795
primase_rep40,0.879310345,0.916272655
primase_rep41,0.793103448,0.81007249
primase_rep42,0.75862069,0.811583195
primase_rep43,0.810344828,0.833922759
primase_rep44,0.879310345,0.913957319
primase_rep45,0.827586207,0.841788057
primase_rep46,0.810344828,0.864096303
primase_rep47,0.896551724,0.89633767
primase_rep48,0.844827586,0.875887316
primase_rep49,0.827586207,0.834688873
primase_rep5,0.75862069,0.844803032
primase_rep50,0.810344828,0.846458689
primase_rep6,0.810344828,0.851498781
primase_rep7,0.827586207,0.875030604
primase_rep8,0.810344828,0.844385046
primase_rep9,0.775862069,0.807454823
,0.820689655,0.855497458
