FileName,RFScore,CI
rnapol2_rep1_default1,0.692307692,0.768749955
rnapol2_rep10_default1,0.711538462,0.801232428
rnapol2_rep11_default1,0.711538462,0.793883809
rnapol2_rep12_default1,0.711538462,0.784915918
rnapol2_rep13_default1,0.673076923,0.734929936
rnapol2_rep14_default1,0.692307692,0.760999668
rnapol2_rep15_default1,0.692307692,0.756728974
rnapol2_rep16_default1,0.692307692,0.760092763
rnapol2_rep17_default1,0.692307692,0.756728974
rnapol2_rep18_default1,0.730769231,0.823859822
rnapol2_rep19_default1,0.692307692,0.753694856
rnapol2_rep2_default1,0.692307692,0.752479975
rnapol2_rep20_default1,0.711538462,0.804381183
rnapol2_rep21_default1,0.711538462,0.802622513
rnapol2_rep22_default1,0.692307692,0.737862502
rnapol2_rep23_default1,0.692307692,0.753694856
rnapol2_rep24_default1,0.692307692,0.773320635
rnapol2_rep25_default1,0.692307692,0.775057444
rnapol2_rep26_default1,0.692307692,0.798141997
rnapol2_rep27_default1,0.692307692,0.753694856
rnapol2_rep28_default1,0.673076923,0.765171413
rnapol2_rep29_default1,0.711538462,0.808829603
rnapol2_rep3_default1,0.692307692,0.760999668
rnapol2_rep30_default1,0.673076923,0.750513387
rnapol2_rep31_default1,0.711538462,0.804381183
rnapol2_rep32_default1,0.692307692,0.756728974
rnapol2_rep33_default1,0.673076923,0.748232332
rnapol2_rep34_default1,0.692307692,0.732211035
rnapol2_rep35_default1,0.692307692,0.774557768
rnapol2_rep36_default1,0.692307692,0.758211664
rnapol2_rep37_default1,0.730769231,0.804162226
rnapol2_rep38_default1,0.692307692,0.773320635
rnapol2_rep39_default1,0.673076923,0.763439872
rnapol2_rep4_default1,0.692307692,0.756728974
rnapol2_rep40_default1,0.711538462,0.804381183
rnapol2_rep41_default1,0.692307692,0.773320635
rnapol2_rep42_default1,0.673076923,0.759893972
rnapol2_rep43_default1,0.673076923,0.760770775
rnapol2_rep44_default1,0.673076923,0.767204184
rnapol2_rep45_default1,0.692307692,0.756728974
rnapol2_rep46_default1,0.673076923,0.765171413
rnapol2_rep47_default1,0.673076923,0.765400005
rnapol2_rep48_default1,0.692307692,0.777644166
rnapol2_rep49_default1,0.673076923,0.748830132
rnapol2_rep5_default1,0.692307692,0.776822472
rnapol2_rep50_default1,0.673076923,0.772287209
rnapol2_rep6_default1,0.692307692,0.773320635
rnapol2_rep7_default1,0.692307692,0.758211664
rnapol2_rep8_default1,0.711538462,0.804381183
rnapol2_rep9_default1,0.692307692,0.760999668
,0.692692308,0.770598601
