FileName,RFScore,CI
rnapol2_rep1_default1,0.557692308,0.710112391
rnapol2_rep10_default1,0.557692308,0.711363433
rnapol2_rep11_default1,0.576923077,0.727766573
rnapol2_rep12_default1,0.557692308,0.719193416
rnapol2_rep13_default1,0.538461538,0.672619551
rnapol2_rep14_default1,0.557692308,0.705284052
rnapol2_rep15_default1,0.557692308,0.698631949
rnapol2_rep16_default1,0.557692308,0.702703348
rnapol2_rep17_default1,0.557692308,0.698631949
rnapol2_rep18_default1,0.576923077,0.729979943
rnapol2_rep19_default1,0.557692308,0.695681564
rnapol2_rep2_default1,0.557692308,0.732410208
rnapol2_rep20_default1,0.557692308,0.714578709
rnapol2_rep21_default1,0.557692308,0.71319895
rnapol2_rep22_default1,0.557692308,0.701862062
rnapol2_rep23_default1,0.557692308,0.695681564
rnapol2_rep24_default1,0.557692308,0.706689203
rnapol2_rep25_default1,0.557692308,0.708561374
rnapol2_rep26_default1,0.538461538,0.703943817
rnapol2_rep27_default1,0.557692308,0.695681564
rnapol2_rep28_default1,0.538461538,0.699691592
rnapol2_rep29_default1,0.557692308,0.71868104
rnapol2_rep3_default1,0.557692308,0.705284052
rnapol2_rep30_default1,0.538461538,0.682678143
rnapol2_rep31_default1,0.557692308,0.714578709
rnapol2_rep32_default1,0.557692308,0.698631949
rnapol2_rep33_default1,0.538461538,0.699575769
rnapol2_rep34_default1,0.557692308,0.694245502
rnapol2_rep35_default1,0.557692308,0.709791057
rnapol2_rep36_default1,0.557692308,0.692710079
rnapol2_rep37_default1,0.576923077,0.73467316
rnapol2_rep38_default1,0.557692308,0.706689203
rnapol2_rep39_default1,0.538461538,0.69138851
rnapol2_rep4_default1,0.557692308,0.698631949
rnapol2_rep40_default1,0.557692308,0.714578709
rnapol2_rep41_default1,0.557692308,0.706689203
rnapol2_rep42_default1,0.538461538,0.691712414
rnapol2_rep43_default1,0.538461538,0.694495568
rnapol2_rep44_default1,0.538461538,0.700903011
rnapol2_rep45_default1,0.557692308,0.698631949
rnapol2_rep46_default1,0.538461538,0.699691592
rnapol2_rep47_default1,0.538461538,0.699019145
rnapol2_rep48_default1,0.557692308,0.712705123
rnapol2_rep49_default1,0.538461538,0.690971816
rnapol2_rep5_default1,0.557692308,0.711333965
rnapol2_rep50_default1,0.538461538,0.705013943
rnapol2_rep6_default1,0.557692308,0.706689203
rnapol2_rep7_default1,0.557692308,0.692710079
rnapol2_rep8_default1,0.557692308,0.714578709
rnapol2_rep9_default1,0.557692308,0.705284052
,0.553846154,0.704736696
