FileName,RFScore,CI
rnapol2_rep1,0.673076923,0.782975838
rnapol2_rep10,0.711538462,0.780296789
rnapol2_rep11,0.634615385,0.784334298
rnapol2_rep12,0.634615385,0.756440753
rnapol2_rep13,0.673076923,0.811730902
rnapol2_rep14,0.673076923,0.779614453
rnapol2_rep15,0.634615385,0.786585928
rnapol2_rep16,0.634615385,0.767384891
rnapol2_rep17,0.673076923,0.808192965
rnapol2_rep18,0.653846154,0.78037182
rnapol2_rep19,0.653846154,0.761800702
rnapol2_rep2,0.634615385,0.756984253
rnapol2_rep20,0.634615385,0.784283584
rnapol2_rep21,0.673076923,0.769081093
rnapol2_rep22,0.653846154,0.791758461
rnapol2_rep23,0.615384615,0.75013135
rnapol2_rep24,0.711538462,0.799940273
rnapol2_rep25,0.711538462,0.848996847
rnapol2_rep26,0.692307692,0.797621025
rnapol2_rep27,0.692307692,0.768626887
rnapol2_rep28,0.673076923,0.781290996
rnapol2_rep29,0.673076923,0.823504608
rnapol2_rep3,0.673076923,0.817501022
rnapol2_rep30,0.692307692,0.749905345
rnapol2_rep31,0.653846154,0.794940847
rnapol2_rep32,0.653846154,0.76339809
rnapol2_rep33,0.634615385,0.745460456
rnapol2_rep34,0.653846154,0.783027075
rnapol2_rep35,0.653846154,0.779023314
rnapol2_rep36,0.653846154,0.816562458
rnapol2_rep37,0.673076923,0.782021879
rnapol2_rep38,0.634615385,0.761336955
rnapol2_rep39,0.673076923,0.7409215
rnapol2_rep4,0.634615385,0.809914584
rnapol2_rep40,0.653846154,0.772928396
rnapol2_rep41,0.653846154,0.779663144
rnapol2_rep42,0.692307692,0.801886295
rnapol2_rep43,0.673076923,0.772730336
rnapol2_rep44,0.634615385,0.739100567
rnapol2_rep45,0.711538462,0.815107018
rnapol2_rep46,0.673076923,0.781690471
rnapol2_rep47,0.692307692,0.811455656
rnapol2_rep48,0.673076923,0.786718899
rnapol2_rep49,0.653846154,0.775802796
rnapol2_rep5,0.653846154,0.765533573
rnapol2_rep50,0.692307692,0.74719524
rnapol2_rep6,0.692307692,0.811720231
rnapol2_rep7,0.673076923,0.75401099
rnapol2_rep8,0.653846154,0.774260996
rnapol2_rep9,0.653846154,0.781635684
,0.664615385,0.781748051
