FileName,RFScore,CI
rnapol2_rep1,0.903846154,0.919360452
rnapol2_rep10,0.807692308,0.829354224
rnapol2_rep11,0.923076923,0.960306965
rnapol2_rep12,0.826923077,0.867084768
rnapol2_rep13,0.75,0.812112492
rnapol2_rep14,0.865384615,0.89784998
rnapol2_rep15,0.903846154,0.929470242
rnapol2_rep16,0.884615385,0.895523259
rnapol2_rep17,0.769230769,0.814487097
rnapol2_rep18,0.884615385,0.936228744
rnapol2_rep19,0.865384615,0.892082042
rnapol2_rep2,0.884615385,0.909541268
rnapol2_rep20,0.942307692,0.968960552
rnapol2_rep21,0.826923077,0.854354567
rnapol2_rep22,0.884615385,0.884767959
rnapol2_rep23,0.826923077,0.83757752
rnapol2_rep24,0.807692308,0.85466816
rnapol2_rep25,0.865384615,0.895178442
rnapol2_rep26,0.865384615,0.892623155
rnapol2_rep27,0.865384615,0.895445249
rnapol2_rep28,0.826923077,0.86849737
rnapol2_rep29,0.807692308,0.858464419
rnapol2_rep3,0.846153846,0.884947763
rnapol2_rep30,0.846153846,0.856761269
rnapol2_rep31,0.826923077,0.880367303
rnapol2_rep32,0.846153846,0.863398736
rnapol2_rep33,0.865384615,0.866102355
rnapol2_rep34,0.884615385,0.877638341
rnapol2_rep35,0.884615385,0.892158626
rnapol2_rep36,0.884615385,0.921743952
rnapol2_rep37,0.884615385,0.89538311
rnapol2_rep38,0.826923077,0.876927246
rnapol2_rep39,0.807692308,0.805221021
rnapol2_rep4,0.807692308,0.840148652
rnapol2_rep40,0.846153846,0.881862161
rnapol2_rep41,0.884615385,0.89586276
rnapol2_rep42,0.826923077,0.836278943
rnapol2_rep43,0.807692308,0.835515512
rnapol2_rep44,0.807692308,0.84663543
rnapol2_rep45,0.865384615,0.903189648
rnapol2_rep46,0.826923077,0.859883162
rnapol2_rep47,0.865384615,0.870823055
rnapol2_rep48,0.923076923,0.951944423
rnapol2_rep49,0.865384615,0.876965163
rnapol2_rep5,0.884615385,0.871127996
rnapol2_rep50,0.865384615,0.860023775
rnapol2_rep6,0.884615385,0.905090222
rnapol2_rep7,0.807692308,0.827370366
rnapol2_rep8,0.942307692,0.956241053
rnapol2_rep9,0.846153846,0.885635861
,0.855,0.879983737
