FileName,RFScore,CI
tf2s_rep1_default1,0.642857143,0.683149055
tf2s_rep10_default1,0.625,0.662103728
tf2s_rep11_default1,0.571428571,0.659515478
tf2s_rep12_default1,0.571428571,0.702584464
tf2s_rep13_default1,0.607142857,0.666009224
tf2s_rep14_default1,0.553571429,0.679986357
tf2s_rep15_default1,0.642857143,0.701802343
tf2s_rep16_default1,0.589285714,0.689703842
tf2s_rep17_default1,0.589285714,0.702911122
tf2s_rep18_default1,0.535714286,0.658403646
tf2s_rep19_default1,0.535714286,0.631636556
tf2s_rep2_default1,0.642857143,0.691093893
tf2s_rep20_default1,0.642857143,0.734573585
tf2s_rep21_default1,0.625,0.722773697
tf2s_rep22_default1,0.607142857,0.726524933
tf2s_rep23_default1,0.553571429,0.663204556
tf2s_rep24_default1,0.607142857,0.700973199
tf2s_rep25_default1,0.571428571,0.694911765
tf2s_rep26_default1,0.607142857,0.699889835
tf2s_rep27_default1,0.642857143,0.724519939
tf2s_rep28_default1,0.553571429,0.66757561
tf2s_rep29_default1,0.625,0.693157616
tf2s_rep3_default1,0.678571429,0.680519279
tf2s_rep30_default1,0.589285714,0.645986632
tf2s_rep31_default1,0.535714286,0.619495573
tf2s_rep32_default1,0.625,0.707048892
tf2s_rep33_default1,0.625,0.730384672
tf2s_rep34_default1,0.589285714,0.704111079
tf2s_rep35_default1,0.625,0.741939009
tf2s_rep36_default1,0.589285714,0.636785926
tf2s_rep37_default1,0.625,0.721968325
tf2s_rep38_default1,0.625,0.703184079
tf2s_rep39_default1,0.607142857,0.706634512
tf2s_rep4_default1,0.642857143,0.691977967
tf2s_rep40_default1,0.589285714,0.69554697
tf2s_rep41_default1,0.589285714,0.690401223
tf2s_rep42_default1,0.589285714,0.68153766
tf2s_rep43_default1,0.642857143,0.724332231
tf2s_rep44_default1,0.660714286,0.727273142
tf2s_rep45_default1,0.625,0.71178175
tf2s_rep46_default1,0.517857143,0.677084847
tf2s_rep47_default1,0.535714286,0.587607374
tf2s_rep48_default1,0.553571429,0.639399337
tf2s_rep49_default1,0.535714286,0.617279362
tf2s_rep5_default1,0.5,0.65406773
tf2s_rep50_default1,0.553571429,0.679772064
tf2s_rep6_default1,0.625,0.656144647
tf2s_rep7_default1,0.553571429,0.639103804
tf2s_rep8_default1,0.642857143,0.663195988
tf2s_rep9_default1,0.642857143,0.702824891
,0.597142857,0.683887868
