FileName,RFScore,CI
tf2s_rep1_default1,0.5,0.537383071
tf2s_rep10_default1,0.5,0.551004309
tf2s_rep11_default1,0.464285714,0.550581699
tf2s_rep12_default1,0.464285714,0.571940273
tf2s_rep13_default1,0.428571429,0.527575335
tf2s_rep14_default1,0.392857143,0.539999941
tf2s_rep15_default1,0.5,0.599778772
tf2s_rep16_default1,0.428571429,0.573088205
tf2s_rep17_default1,0.410714286,0.512925528
tf2s_rep18_default1,0.392857143,0.518120491
tf2s_rep19_default1,0.464285714,0.55086897
tf2s_rep2_default1,0.482142857,0.530183053
tf2s_rep20_default1,0.482142857,0.602908508
tf2s_rep21_default1,0.464285714,0.565189298
tf2s_rep22_default1,0.446428571,0.560544659
tf2s_rep23_default1,0.464285714,0.544779426
tf2s_rep24_default1,0.446428571,0.519049
tf2s_rep25_default1,0.428571429,0.586489109
tf2s_rep26_default1,0.446428571,0.581431671
tf2s_rep27_default1,0.464285714,0.582668331
tf2s_rep28_default1,0.410714286,0.542884443
tf2s_rep29_default1,0.428571429,0.553767916
tf2s_rep3_default1,0.482142857,0.544051568
tf2s_rep30_default1,0.446428571,0.499027155
tf2s_rep31_default1,0.410714286,0.499693426
tf2s_rep32_default1,0.5,0.567211712
tf2s_rep33_default1,0.446428571,0.550148109
tf2s_rep34_default1,0.428571429,0.572511751
tf2s_rep35_default1,0.5,0.590085889
tf2s_rep36_default1,0.5,0.54023117
tf2s_rep37_default1,0.428571429,0.551910407
tf2s_rep38_default1,0.446428571,0.566908957
tf2s_rep39_default1,0.464285714,0.556567847
tf2s_rep4_default1,0.446428571,0.516993994
tf2s_rep40_default1,0.464285714,0.52432508
tf2s_rep41_default1,0.446428571,0.544154395
tf2s_rep42_default1,0.464285714,0.559802303
tf2s_rep43_default1,0.482142857,0.617842627
tf2s_rep44_default1,0.464285714,0.572189985
tf2s_rep45_default1,0.446428571,0.547788313
tf2s_rep46_default1,0.410714286,0.551713017
tf2s_rep47_default1,0.428571429,0.538898747
tf2s_rep48_default1,0.464285714,0.532122326
tf2s_rep49_default1,0.428571429,0.524999629
tf2s_rep5_default1,0.375,0.54431715
tf2s_rep50_default1,0.428571429,0.533280826
tf2s_rep6_default1,0.5,0.531001384
tf2s_rep7_default1,0.446428571,0.556644939
tf2s_rep8_default1,0.482142857,0.527209473
tf2s_rep9_default1,0.5,0.560312339
,0.452857143,0.55050213
