FileName,RFScore,CI
tf2s_rep1,0.446428571,0.515038265
tf2s_rep10,0.267857143,0.401291685
tf2s_rep11,0.410714286,0.480719376
tf2s_rep12,0.446428571,0.583029965
tf2s_rep13,0.357142857,0.503223212
tf2s_rep14,0.446428571,0.562416018
tf2s_rep15,0.392857143,0.501934975
tf2s_rep16,0.5,0.618929926
tf2s_rep17,0.464285714,0.608317834
tf2s_rep18,0.357142857,0.542602579
tf2s_rep19,0.5,0.545390555
tf2s_rep2,0.428571429,0.536474826
tf2s_rep20,0.535714286,0.572814004
tf2s_rep21,0.5,0.612628517
tf2s_rep22,0.428571429,0.543719025
tf2s_rep23,0.392857143,0.563019145
tf2s_rep24,0.482142857,0.589166646
tf2s_rep25,0.321428571,0.417183985
tf2s_rep26,0.410714286,0.513271423
tf2s_rep27,0.410714286,0.524867944
tf2s_rep28,0.339285714,0.547068586
tf2s_rep29,0.446428571,0.571970344
tf2s_rep3,0.482142857,0.551952146
tf2s_rep30,0.392857143,0.602807108
tf2s_rep31,0.357142857,0.434675942
tf2s_rep32,0.392857143,0.432475235
tf2s_rep33,0.375,0.516659916
tf2s_rep34,0.357142857,0.45908854
tf2s_rep35,0.375,0.544244412
tf2s_rep36,0.464285714,0.512537497
tf2s_rep37,0.375,0.472716599
tf2s_rep38,0.410714286,0.487830695
tf2s_rep39,0.410714286,0.545877958
tf2s_rep4,0.392857143,0.485222338
tf2s_rep40,0.446428571,0.481419584
tf2s_rep41,0.339285714,0.525570999
tf2s_rep42,0.428571429,0.539155557
tf2s_rep43,0.428571429,0.574341658
tf2s_rep44,0.392857143,0.547160687
tf2s_rep45,0.375,0.471217682
tf2s_rep46,0.410714286,0.51604141
tf2s_rep47,0.321428571,0.414563819
tf2s_rep48,0.303571429,0.490294832
tf2s_rep49,0.410714286,0.54649542
tf2s_rep5,0.339285714,0.412981178
tf2s_rep50,0.357142857,0.478481481
tf2s_rep6,0.410714286,0.515701102
tf2s_rep7,0.392857143,0.511513589
tf2s_rep8,0.464285714,0.521625172
tf2s_rep9,0.339285714,0.474532177
,0.404642857,0.518445271
