FileName,RFScore,CI
tf2s_rep1,0.410714286,0.437841608
tf2s_rep10,0.267857143,0.378498189
tf2s_rep11,0.410714286,0.471550489
tf2s_rep12,0.464285714,0.543493151
tf2s_rep13,0.339285714,0.444985877
tf2s_rep14,0.446428571,0.539843202
tf2s_rep15,0.392857143,0.44022107
tf2s_rep16,0.482142857,0.574632964
tf2s_rep17,0.428571429,0.553976047
tf2s_rep18,0.321428571,0.464914882
tf2s_rep19,0.482142857,0.494976698
tf2s_rep2,0.410714286,0.532984165
tf2s_rep20,0.5,0.620290548
tf2s_rep21,0.5,0.542379284
tf2s_rep22,0.392857143,0.574950074
tf2s_rep23,0.392857143,0.506964801
tf2s_rep24,0.482142857,0.628541487
tf2s_rep25,0.321428571,0.371344455
tf2s_rep26,0.410714286,0.4653785
tf2s_rep27,0.392857143,0.489865161
tf2s_rep28,0.303571429,0.484438795
tf2s_rep29,0.392857143,0.507109536
tf2s_rep3,0.482142857,0.595190889
tf2s_rep30,0.321428571,0.497529472
tf2s_rep31,0.392857143,0.421759046
tf2s_rep32,0.392857143,0.413030668
tf2s_rep33,0.357142857,0.483729558
tf2s_rep34,0.339285714,0.411667257
tf2s_rep35,0.357142857,0.442318237
tf2s_rep36,0.446428571,0.48726254
tf2s_rep37,0.375,0.447400573
tf2s_rep38,0.375,0.532499489
tf2s_rep39,0.410714286,0.521381271
tf2s_rep4,0.375,0.457140951
tf2s_rep40,0.428571429,0.486053684
tf2s_rep41,0.375,0.537650297
tf2s_rep42,0.392857143,0.475795381
tf2s_rep43,0.464285714,0.505488904
tf2s_rep44,0.392857143,0.556383366
tf2s_rep45,0.375,0.418836013
tf2s_rep46,0.410714286,0.474602566
tf2s_rep47,0.303571429,0.398747092
tf2s_rep48,0.321428571,0.431406859
tf2s_rep49,0.375,0.522642551
tf2s_rep5,0.321428571,0.421168414
tf2s_rep50,0.410714286,0.441742973
tf2s_rep6,0.357142857,0.479972104
tf2s_rep7,0.392857143,0.555960901
tf2s_rep8,0.428571429,0.482516417
tf2s_rep9,0.339285714,0.448893618
,0.393214286,0.488359042
