FileName,RFScore,CI
vltf3_rep1_default2,0.724137931,0.791026316
vltf3_rep10_default2,0.75862069,0.802870817
vltf3_rep11_default2,0.706896552,0.785583159
vltf3_rep12_default2,0.689655172,0.779004344
vltf3_rep13_default2,0.75862069,0.793123228
vltf3_rep14_default2,0.689655172,0.730949709
vltf3_rep15_default2,0.74137931,0.731734274
vltf3_rep16_default2,0.706896552,0.758109463
vltf3_rep17_default2,0.706896552,0.713930469
vltf3_rep18_default2,0.775862069,0.821307974
vltf3_rep19_default2,0.75862069,0.827557339
vltf3_rep2_default2,0.775862069,0.857509564
vltf3_rep20_default2,0.724137931,0.764276435
vltf3_rep21_default2,0.75862069,0.792046711
vltf3_rep22_default2,0.724137931,0.767182214
vltf3_rep23_default2,0.810344828,0.83359164
vltf3_rep24_default2,0.75862069,0.808897687
vltf3_rep25_default2,0.74137931,0.811899954
vltf3_rep26_default2,0.706896552,0.732239972
vltf3_rep27_default2,0.706896552,0.775265891
vltf3_rep28_default2,0.706896552,0.748191193
vltf3_rep29_default2,0.706896552,0.809963642
vltf3_rep3_default2,0.75862069,0.827004155
vltf3_rep30_default2,0.724137931,0.762779816
vltf3_rep31_default2,0.74137931,0.787531756
vltf3_rep32_default2,0.689655172,0.751963859
vltf3_rep33_default2,0.74137931,0.768781977
vltf3_rep34_default2,0.689655172,0.747713752
vltf3_rep35_default2,0.827586207,0.84294118
vltf3_rep36_default2,0.706896552,0.700917417
vltf3_rep37_default2,0.706896552,0.749994334
vltf3_rep38_default2,0.706896552,0.776924116
vltf3_rep39_default2,0.706896552,0.777685124
vltf3_rep4_default2,0.706896552,0.72021763
vltf3_rep40_default2,0.672413793,0.773508355
vltf3_rep41_default2,0.75862069,0.800877737
vltf3_rep42_default2,0.724137931,0.786361075
vltf3_rep43_default2,0.724137931,0.751584975
vltf3_rep44_default2,0.74137931,0.77128746
vltf3_rep45_default2,0.724137931,0.768429485
vltf3_rep46_default2,0.775862069,0.786795249
vltf3_rep47_default2,0.689655172,0.745446485
vltf3_rep48_default2,0.75862069,0.778997184
vltf3_rep49_default2,0.75862069,0.826899256
vltf3_rep5_default2,0.689655172,0.747051087
vltf3_rep50_default2,0.706896552,0.740959727
vltf3_rep6_default2,0.724137931,0.778888572
vltf3_rep7_default2,0.724137931,0.7737222
vltf3_rep8_default2,0.706896552,0.722450308
vltf3_rep9_default2,0.74137931,0.756430296
,0.729310345,0.775208131
