FileName,RFScore,CI
vltf3_rep1_default2,0.620689655,0.7138351
vltf3_rep10_default2,0.620689655,0.731284148
vltf3_rep11_default2,0.620689655,0.747608723
vltf3_rep12_default2,0.620689655,0.70118046
vltf3_rep13_default2,0.637931034,0.724110584
vltf3_rep14_default2,0.620689655,0.724424467
vltf3_rep15_default2,0.637931034,0.683118241
vltf3_rep16_default2,0.620689655,0.71890419
vltf3_rep17_default2,0.637931034,0.710941055
vltf3_rep18_default2,0.655172414,0.754371711
vltf3_rep19_default2,0.655172414,0.767415158
vltf3_rep2_default2,0.655172414,0.759572574
vltf3_rep20_default2,0.620689655,0.717565498
vltf3_rep21_default2,0.672413793,0.775057945
vltf3_rep22_default2,0.637931034,0.69924278
vltf3_rep23_default2,0.637931034,0.745791355
vltf3_rep24_default2,0.655172414,0.751814627
vltf3_rep25_default2,0.620689655,0.750389201
vltf3_rep26_default2,0.620689655,0.695698393
vltf3_rep27_default2,0.620689655,0.719367109
vltf3_rep28_default2,0.620689655,0.698081455
vltf3_rep29_default2,0.637931034,0.739357959
vltf3_rep3_default2,0.637931034,0.761295383
vltf3_rep30_default2,0.620689655,0.72258484
vltf3_rep31_default2,0.637931034,0.738665742
vltf3_rep32_default2,0.620689655,0.690251737
vltf3_rep33_default2,0.637931034,0.719554196
vltf3_rep34_default2,0.620689655,0.725730404
vltf3_rep35_default2,0.672413793,0.756885202
vltf3_rep36_default2,0.637931034,0.677247208
vltf3_rep37_default2,0.620689655,0.710059021
vltf3_rep38_default2,0.603448276,0.716268199
vltf3_rep39_default2,0.637931034,0.728892856
vltf3_rep4_default2,0.620689655,0.668808062
vltf3_rep40_default2,0.586206897,0.691390659
vltf3_rep41_default2,0.655172414,0.745496965
vltf3_rep42_default2,0.637931034,0.745348134
vltf3_rep43_default2,0.603448276,0.687381765
vltf3_rep44_default2,0.620689655,0.684064659
vltf3_rep45_default2,0.620689655,0.733677319
vltf3_rep46_default2,0.672413793,0.747802879
vltf3_rep47_default2,0.603448276,0.703319513
vltf3_rep48_default2,0.637931034,0.74698396
vltf3_rep49_default2,0.655172414,0.759078422
vltf3_rep5_default2,0.603448276,0.673921038
vltf3_rep50_default2,0.603448276,0.70263823
vltf3_rep6_default2,0.603448276,0.714132192
vltf3_rep7_default2,0.637931034,0.71674229
vltf3_rep8_default2,0.620689655,0.683522328
vltf3_rep9_default2,0.655172414,0.710469375
,0.630689655,0.721826906
