FileName,RFScore,CI
vltf3_rep1,0.620689655,0.732868731
vltf3_rep10,0.637931034,0.70006448
vltf3_rep11,0.620689655,0.750580901
vltf3_rep12,0.706896552,0.776121077
vltf3_rep13,0.724137931,0.771246251
vltf3_rep14,0.551724138,0.672373318
vltf3_rep15,0.603448276,0.709099316
vltf3_rep16,0.655172414,0.756820253
vltf3_rep17,0.672413793,0.717253743
vltf3_rep18,0.620689655,0.698113083
vltf3_rep19,0.655172414,0.680719894
vltf3_rep2,0.689655172,0.802298717
vltf3_rep20,0.706896552,0.79062687
vltf3_rep21,0.672413793,0.764583148
vltf3_rep22,0.568965517,0.66242732
vltf3_rep23,0.568965517,0.688052066
vltf3_rep24,0.603448276,0.745994496
vltf3_rep25,0.637931034,0.73175425
vltf3_rep26,0.672413793,0.701732339
vltf3_rep27,0.689655172,0.765231857
vltf3_rep28,0.655172414,0.707819226
vltf3_rep29,0.620689655,0.684767621
vltf3_rep3,0.637931034,0.771691153
vltf3_rep30,0.724137931,0.827229421
vltf3_rep31,0.672413793,0.701134571
vltf3_rep32,0.655172414,0.75967824
vltf3_rep33,0.706896552,0.787323602
vltf3_rep34,0.620689655,0.693562371
vltf3_rep35,0.672413793,0.796709257
vltf3_rep36,0.637931034,0.71202308
vltf3_rep37,0.689655172,0.794897424
vltf3_rep38,0.603448276,0.718938792
vltf3_rep39,0.706896552,0.776118459
vltf3_rep4,0.655172414,0.739604326
vltf3_rep40,0.637931034,0.682051197
vltf3_rep41,0.706896552,0.826240537
vltf3_rep42,0.637931034,0.720788208
vltf3_rep43,0.534482759,0.669925379
vltf3_rep44,0.620689655,0.76784035
vltf3_rep45,0.706896552,0.826110272
vltf3_rep46,0.620689655,0.66396433
vltf3_rep47,0.724137931,0.819937705
vltf3_rep48,0.706896552,0.806626864
vltf3_rep49,0.586206897,0.703165914
vltf3_rep5,0.672413793,0.730944126
vltf3_rep50,0.655172414,0.702129453
vltf3_rep6,0.637931034,0.73239209
vltf3_rep7,0.689655172,0.797942153
vltf3_rep8,0.637931034,0.764746311
vltf3_rep9,0.655172414,0.761750224
,0.65137931,0.741320295
