FileName,RFScore,CI
vltf3_rep1,0.672413793,0.72706711
vltf3_rep10,0.672413793,0.762882439
vltf3_rep11,0.689655172,0.748741923
vltf3_rep12,0.75862069,0.717181804
vltf3_rep13,0.74137931,0.749126696
vltf3_rep14,0.672413793,0.788953211
vltf3_rep15,0.672413793,0.749437553
vltf3_rep16,0.74137931,0.768515811
vltf3_rep17,0.775862069,0.748902923
vltf3_rep18,0.672413793,0.647504731
vltf3_rep19,0.75862069,0.79142474
vltf3_rep2,0.74137931,0.740261562
vltf3_rep20,0.775862069,0.807405427
vltf3_rep21,0.775862069,0.79836946
vltf3_rep22,0.637931034,0.686413305
vltf3_rep23,0.603448276,0.656402108
vltf3_rep24,0.655172414,0.679291684
vltf3_rep25,0.706896552,0.736079313
vltf3_rep26,0.775862069,0.804829201
vltf3_rep27,0.775862069,0.769411408
vltf3_rep28,0.706896552,0.754418688
vltf3_rep29,0.689655172,0.771673793
vltf3_rep3,0.706896552,0.742274422
vltf3_rep30,0.775862069,0.789245978
vltf3_rep31,0.724137931,0.737091877
vltf3_rep32,0.75862069,0.780814476
vltf3_rep33,0.810344828,0.788749086
vltf3_rep34,0.689655172,0.753241736
vltf3_rep35,0.75862069,0.762136641
vltf3_rep36,0.689655172,0.714271704
vltf3_rep37,0.74137931,0.752240761
vltf3_rep38,0.672413793,0.692958864
vltf3_rep39,0.793103448,0.809250844
vltf3_rep4,0.74137931,0.745788506
vltf3_rep40,0.724137931,0.754112229
vltf3_rep41,0.74137931,0.781685408
vltf3_rep42,0.75862069,0.822813814
vltf3_rep43,0.603448276,0.66867462
vltf3_rep44,0.672413793,0.727754479
vltf3_rep45,0.827586207,0.857439345
vltf3_rep46,0.724137931,0.768458603
vltf3_rep47,0.844827586,0.891653072
vltf3_rep48,0.74137931,0.719426221
vltf3_rep49,0.724137931,0.807123756
vltf3_rep5,0.75862069,0.830350722
vltf3_rep50,0.724137931,0.716019395
vltf3_rep6,0.724137931,0.727100495
vltf3_rep7,0.75862069,0.784825146
vltf3_rep8,0.672413793,0.712481074
vltf3_rep9,0.706896552,0.735514472
,0.724827586,0.755555853
