Protein family,Layer,Correlation,P value
PF14317,0,0.26025851134784117,3.7674439218415836e-305
PF14317,1,0.25701601633509785,2.1914155623401097e-297
PF14317,2,0.2486661560957143,6.711524730717967e-278
PF14317,3,0.2127514511327352,3.007187118560252e-202
PF14317,4,0.19591913593558594,3.1910924112645317e-171
PF14317,5,0.204933587945128,1.7105207619727986e-187
PF14317,6,0.2117661459964876,2.3492671328993997e-200
PF14317,7,0.2324459380228409,4.1115508438116604e-242
PF14317,8,0.2584970657728018,6.4254300143848846e-301
PF14317,9,0.2580808484661621,6.354281649545474e-300
PF14317,10,0.25543459933864493,1.2229969257530514e-293
PF14317,11,0.26475869122638146,0.0
