Protein family,Layer,Correlation,P value
PF03147,0,-0.028674490302775992,0.005906205101188407
PF03147,1,-0.06392246683474209,8.148568873782187e-10
PF03147,2,-0.031239063162040556,0.0027062272198130105
PF03147,3,-0.0014445992941211358,0.8897166204720999
PF03147,4,0.0005631192174377695,0.9568936419983858
PF03147,5,-0.008331431983445776,0.4238713854299334
PF03147,6,-0.020036105571309387,0.05443004879934384
PF03147,7,-0.02640086914898955,0.011258176609217383
PF03147,8,-0.024935449788061115,0.01667253569402644
PF03147,9,-0.01625684799775352,0.11863023940893004
PF03147,10,-0.01915691205836588,0.06591770955631068
PF03147,11,-0.013712268843463184,0.1880864124887858
