Protein family,Layer,Correlation,P value
PF06427,0,0.15092211102711203,2.1807350367470838e-122
PF06427,1,0.10077393169857207,2.8830057225817123e-55
PF06427,2,0.09348411145142756,8.908147136141795e-48
PF06427,3,0.15744912884720894,3.672258896741317e-133
PF06427,4,0.1630923692760629,7.323077939470841e-143
PF06427,5,0.1455348933252621,7.460396825184189e-114
PF06427,6,0.0806655915223339,5.593409557342525e-36
PF06427,7,0.04727785956446181,2.2710446978966583e-13
PF06427,8,-0.006202001082881918,0.33641673237751624
PF06427,9,-0.03389492230176162,1.4806515522711084e-07
PF06427,10,-0.04577367582178737,1.2632727736391244e-12
PF06427,11,-0.02552688451267045,7.586327488791849e-05
