Protein family,Layer,Correlation,P value
PF14317,0,0.2607538489426558,2.3992888637540138e-306
PF14317,1,0.26128781777346943,1.2244189498867858e-307
PF14317,2,0.2580564466368391,7.266976793403335e-300
PF14317,3,0.22873963392451258,2.593162142973853e-234
PF14317,4,0.2196560710384141,8.795784904499114e-216
PF14317,5,0.2314930291410028,4.292189961986845e-240
PF14317,6,0.24077986142187285,3.66892085804913e-260
PF14317,7,0.2608651119520206,1.291476346813992e-306
PF14317,8,0.26498999726463407,0.0
PF14317,9,0.2606406875244591,4.5033284205104186e-306
PF14317,10,0.24287129472584704,8.378392188460784e-265
PF14317,11,0.21880339542382174,4.37811342385705e-214
